AD_Org_ID[Name],Value,Name,Description,IsActive
*,2021-111101,Local or Provincial Government Legislator,1,Y
*,2021-111102,Parliamentarian,2,Y
*,2021-111201,Defence Force Senior Officer,3,Y
*,2021-111202,General Manager Public Service,4,Y
*,2021-111203,Local Authority Manager,5,Y
*,2021-111204,Senior Government Official,6,Y
*,2021-111205,Senior Police Officer,7,Y
*,2021-111206,Ombudsperson,8,Y
*,2021-111207,Senior Government Manager,9,Y
*,2021-111301,Traditional Leader,10,Y
*,2021-111401,Elected Official,11,Y
*,2021-111402,Trade Union Representative,12,Y
*,2021-111403,Political Party Representative,13,Y
*,2021-112101,Director (Enterprise / Organisation),14,Y
*,2021-121101,Finance Manager,15,Y
*,2021-121102,Payroll Manager,16,Y
*,2021-121103,Credit Manager,17,Y
*,2021-121104,Internal Audit Manager,18,Y
*,2021-121201,Human Resource Manager,19,Y
*,2021-121202,Business Training Manager,20,Y
*,2021-121203,Compensation and Benefits Manager,21,Y
*,2021-121204,Recruitment Manager,22,Y
*,2021-121205,Employee Wellness Manager,23,Y
*,2021-121206,Health and Safety Manager,24,Y
*,2021-121207,Personnel Manager,25,Y
*,2021-121301,Policy and Planning Manager,26,Y
*,2021-121901,Corporate General Manager,27,Y
*,2021-121902,Corporate Services Manager,28,Y
*,2021-121903,Physical Asset Manager,29,Y
*,2021-121904,Contract Manager,30,Y
*,2021-121905,Programme or Project Manager,31,Y
*,2021-121906,Franchise Manager,32,Y
*,2021-121908,Quality Systems Manager,33,Y
*,2021-121909,Sustainability Manager,34,Y
*,2021-121910,Water Asset Manager,35,Y
*,2021-122101,Sales and Marketing Manager,36,Y
*,2021-122102,Sales Manager,37,Y
*,2021-122103,Director of Marketing,38,Y
*,2021-122104,Interactive and Direct Marketing Strategist,39,Y
*,2021-122105,Customer Service Manager,40,Y
*,2021-122201,Advertising and Public Relations Manager,41,Y
*,2021-122301,Research and Development Manager,42,Y
*,2021-131101,Agricultural Farm Manager,43,Y
*,2021-131102,Forestry Operations Manager ,44,Y
*,2021-131103,Forestry Operations Supervisor,45,Y
*,2021-131201,Aquaculture Farm Manager,46,Y
*,2021-132101,Manufacturer,47,Y
*,2021-132102,Manufacturing Operations Manager,48,Y
*,2021-132104,Engineering Manager,49,Y
*,2021-132105,Power Generation Operations Manager,50,Y
*,2021-132106,Manufacturing Quality Manager,51,Y
*,2021-132107,Quality Manager,52,Y
*,2021-132108,Metrologist,53,Y
*,2021-132109,Quality Systems Auditor,54,Y
*,2021-132201,Mining Manager,55,Y
*,2021-132202,Mineral Resources Manager,56,Y
