AD_Org_ID[Name],Value,Name,ZZNqfLevel,ZZCredits,Registrationstartdate,Registrationenddate,ZZQualityAssuranceBody,ZZSkillsProgrammeType,ZZQualification_ID[Value],ZZAetLevel,ZZLkpOfoOccupation_ID[Value],ZZMinimumElectiveCredits,IsActive
*,MQA/SP/0002/03,Skills Programme: Secondary Blasting Operations for Underground Hard Rock Tabular,,50,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,1,,,,4,Y
*,MQA/SP/0012/03,Skills Programme: Secondary Blasting Operations for Underground Hard Rock Massive ,,77,2003-12-12 00:00:00.000,2006-12-12 00:00:00.000,,1,,,,1,Y
*,MQA/SP/0013/03,Skills Programme: Basic construction materials testing,,29,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,1,,,2021-711101,2,Y
*,MQA/SP/0014/03,Skills Programme: Competent Person A:  To examination and declaring a workplace safe in surface mining operations (Surface Mining Operations),,13,2003-12-12 00:00:00.000,2010-03-03 00:00:00.000,,1,,,,0,Y
*,MQA/SP/0015/03,"Skills Programme: The examination,making safe and declaring safe of blasted quarries, dumps and stockpiles",,30,2003-12-12 00:00:00.000,2010-08-12 00:00:00.000,,1,,,,0,Y
*,MQA/SP/0016/04,"Skills Programme: Transportation of men, material and ore to and from an underground workplace (Onsetter)",,27,2003-10-28 00:00:00.000,2010-05-31 00:00:00.000,,1,,,,2,Y
*,MQA/SP/0022/05,Skills Programme: Dozing Operations,,128,2004-03-11 00:00:00.000,2007-03-11 00:00:00.000,,1,,,,46,Y
*,MQA/SP/0024/05,Skills Programme: Excavating Operations,,84,2004-03-11 00:00:00.000,2007-03-11 00:00:00.000,,1,,,,2,Y
*,MQA/SP/0018/05,Skills Programme: Haul and Dump Operations,,68,2004-10-23 00:00:00.000,2007-10-23 00:00:00.000,,1,,,,10,Y
*,MQA/SP/0021/05,Skills Programme: Drilling Operations,,70,2004-03-11 00:00:00.000,2007-03-11 00:00:00.000,,1,,,,6,Y
*,MQA/SP/0020/05,Skills Programme: Handling of Explosives in Quarries,,11,2004-01-08 00:00:00.000,2009-11-17 00:00:00.000,,1,,,,0,Y
*,MQA/SP/0019/05,Skills Programme: The Management of Explosives Magazines on Mines and Quarries,,14,2003-10-03 00:00:00.000,2006-10-03 00:00:00.000,,1,,,,4,Y
*,MQA/SP/0023/04,Skillls Programme: Manufacture Indiginous Jewellery,,24,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,1,,,2021-712102,0,Y
*,MQA/SP/0003/04,Skills Programme: Competent Person A: To examine and declare a working place safe (Underground Hard Rock Narrow Tabular) V2,,25,2007-01-01 00:00:00.000,2024-07-30 23:59:59.000,,1,,,,0,Y
*,MQA/SP/0001/03,"Skills Programme: Competent Person B: The Installation,Maintanance and Removal Support 1.7 (Underground Hard Rock Operations)-Underground Hard Rock  Narrow Tabular (Massive)",,24,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,1,,,,8,Y
*,MQA/SP/0004/03,Skills Programme: Competent Person A: To examine and declare a working place safe (Underground Hard Rock Massive) V2,,22,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,1,,,,3,Y
*,MQA/SP/0027/05,Skills Programme: Scrubbing and Screening (Version 1),,17,2005-06-22 00:00:00.000,2008-06-22 00:00:00.000,,1,,,,2,Y
*,MQA/SP/0028/05,Skills Programme: Dense Medium Separation (Version 1),,14,2005-06-22 00:00:00.000,2008-06-22 00:00:00.000,,1,,,,2,Y
*,MQA/SP/0029/05,Skills Programme: Ore Reception,,8,2005-06-22 00:00:00.000,2008-06-22 00:00:00.000,,1,,,,1,Y
