"AD_Reference_ID[Name]/K","value/K","name","Description","EntityType",_LOG_
ZZLkpAetLevel,ABET Level 0,ABET Level 0,1,MQA Learner,"<AD_Ref_List>: Updated ABET Level 0 / <AD_Ref_List>: Updated ABET Level 0 / "
ZZLkpAetLevel,ABET Level 1,ABET Level 1,2,MQA Learner,"<AD_Ref_List>: Updated ABET Level 1 / <AD_Ref_List>: Updated ABET Level 1 / "
ZZLkpAetLevel,ABET Level 2,ABET Level 2,3,MQA Learner,"<AD_Ref_List>: Updated ABET Level 2 / <AD_Ref_List>: Updated ABET Level 2 / "
ZZLkpAetLevel,ABET Level 3,ABET Level 3,4,MQA Learner,"<AD_Ref_List>: Updated ABET Level 3 / <AD_Ref_List>: Updated ABET Level 3 / "
ZZLkpAetLevel,ABET Level 4,ABET Level 4,5,MQA Learner,"<AD_Ref_List>: Updated ABET Level 4 / <AD_Ref_List>: Updated ABET Level 4 / "
ZZLkpLearnershipType,Non MQA learnership,Non MQA learnership,4,MQA Learner,"<AD_Ref_List>: Updated Non MQA learnership / <AD_Ref_List>: Updated Non MQA learnership / "
ZZLkpLearnershipType,Qualification Compulsory Electives,Qualification Compulsory Electives,2,MQA Learner,"<AD_Ref_List>: Updated Qualification Compulsory Electives / <AD_Ref_List>: Updated Qualification Compulsory Electives / "
ZZLkpLearnershipType,Qualification Electives,Qualification Electives,1,MQA Learner,"<AD_Ref_List>: Updated Qualification Electives / <AD_Ref_List>: Updated Qualification Electives / "
ZZLkpLearnershipType,Standard Qualification,Standard Qualification,3,MQA Learner,"<AD_Ref_List>: Updated Standard Qualification / <AD_Ref_List>: Updated Standard Qualification / "
ZZLkpLearningType,Application,Application,1,MQA Learner,"<AD_Ref_List>: Updated Application / <AD_Ref_List>: Updated Application / "
ZZLkpLearningType,Knowledge,Knowledge,2,MQA Learner,"<AD_Ref_List>: Updated Knowledge / <AD_Ref_List>: Updated Knowledge / "
ZZLkpLearningType,Work experience,Work experience,3,MQA Learner,"<AD_Ref_List>: Updated Work experience / <AD_Ref_List>: Updated Work experience / "
ZZLkpModuleType,Core,Core,1,MQA Learner,"<AD_Ref_List>: Updated Core / <AD_Ref_List>: Updated Core / "
ZZLkpModuleType,Elective,Elective,2,MQA Learner,"<AD_Ref_List>: Updated Elective / <AD_Ref_List>: Updated Elective / "
ZZLkpNqfLevel,Below Level 01,Below Level 01,11,MQA Learner,"<AD_Ref_List>: Updated Below Level 01 / <AD_Ref_List>: Updated Below Level 01 / "
ZZLkpNqfLevel,Level 01,Level 01,1,MQA Learner,"<AD_Ref_List>: Updated Level 01 / <AD_Ref_List>: Updated Level 01 / "
ZZLkpNqfLevel,Level 02,Level 02,2,MQA Learner,"<AD_Ref_List>: Updated Level 02 / <AD_Ref_List>: Updated Level 02 / "
ZZLkpNqfLevel,Level 03,Level 03,3,MQA Learner,"<AD_Ref_List>: Updated Level 03 / <AD_Ref_List>: Updated Level 03 / "
ZZLkpNqfLevel,Level 04,Level 04,4,MQA Learner,"<AD_Ref_List>: Updated Level 04 / <AD_Ref_List>: Updated Level 04 / "
ZZLkpNqfLevel,Level 05,Level 05,5,MQA Learner,"<AD_Ref_List>: Updated Level 05 / <AD_Ref_List>: Updated Level 05 / "
ZZLkpNqfLevel,Level 06,Level 06,6,MQA Learner,"<AD_Ref_List>: Updated Level 06 / <AD_Ref_List>: Updated Level 06 / "
ZZLkpNqfLevel,Level 07,Level 07,7,MQA Learner,"<AD_Ref_List>: Updated Level 07 / <AD_Ref_List>: Updated Level 07 / "
ZZLkpNqfLevel,Level 08,Level 08,8,MQA Learner,"<AD_Ref_List>: Updated Level 08 / <AD_Ref_List>: Updated Level 08 / "
ZZLkpNqfLevel,Level 09,Level 09,9,MQA Learner,"<AD_Ref_List>: Updated Level 09 / <AD_Ref_List>: Updated Level 09 / "
ZZLkpNqfLevel,Level 10,Level 10,10,MQA Learner,"<AD_Ref_List>: Updated Level 10 / <AD_Ref_List>: Updated Level 10 / "
ZZLkpNqfLevel,Level 11,Level 11,12,MQA Learner,"<AD_Ref_List>: Updated Level 11 / <AD_Ref_List>: Updated Level 11 / "
ZZLkpQCTOLearnershipType,Part Qualification,Part Qualification,2,MQA Learner,"<AD_Ref_List>: Updated Part Qualification / <AD_Ref_List>: Updated Part Qualification / "
ZZLkpQCTOLearnershipType,Qualification,Qualification,1,MQA Learner,"<AD_Ref_List>: Updated Qualification / <AD_Ref_List>: Updated Qualification / "
ZZLkpQCTOQualificationType,Part Qualification,Part Qualification,2,MQA Learner,"<AD_Ref_List>: Updated Part Qualification / <AD_Ref_List>: Updated Part Qualification / "
ZZLkpQCTOQualificationType,Qualification,Qualification,1,MQA Learner,"<AD_Ref_List>: Updated Qualification / <AD_Ref_List>: Updated Qualification / "
ZZLkpQualificationType,Non Unit Standard Based,Non Unit Standard Based,2,MQA Learner,"<AD_Ref_List>: Updated Non Unit Standard Based / <AD_Ref_List>: Updated Non Unit Standard Based / "
ZZLkpQualificationType,Unit Standard Based,Unit Standard Based,1,MQA Learner,"<AD_Ref_List>: Updated Unit Standard Based / <AD_Ref_List>: Updated Unit Standard Based / "
ZZLkpQualityAssuranceBody,"48",DHET,48,MQA Learner,"<AD_Ref_List>: Updated DHET / <AD_Ref_List>: Updated DHET / "
ZZLkpQualityAssuranceBody,"49",DHET SETA-support,49,MQA Learner,"<AD_Ref_List>: Updated DHET SETA-support / <AD_Ref_List>: Updated DHET SETA-support / "
ZZLkpQualityAssuranceBody,"50",DIDTETA,50,MQA Learner,"<AD_Ref_List>: Updated DIDTETA / <AD_Ref_List>: Updated DIDTETA / "
ZZLkpQualityAssuranceBody,"53",EWSETA,53,MQA Learner,"<AD_Ref_List>: Updated EWSETA / <AD_Ref_List>: Updated EWSETA / "
ZZLkpQualityAssuranceBody,"54",Indlela NAMB,54,MQA Learner,"<AD_Ref_List>: Updated Indlela NAMB / <AD_Ref_List>: Updated Indlela NAMB / "
ZZLkpQualityAssuranceBody,"60",QCTO,60,MQA Learner,"<AD_Ref_List>: Updated QCTO / <AD_Ref_List>: Updated QCTO / "
ZZLkpQualityAssuranceBody,"541",UMALUSI,68,MQA Learner,"<AD_Ref_List>: Updated UMALUSI / <AD_Ref_List>: Updated UMALUSI / "
ZZLkpQualityAssuranceBody,"557",BANKSETA,2,MQA Learner,"<AD_Ref_List>: Updated BANKSETA / <AD_Ref_List>: Updated BANKSETA / "
ZZLkpQualityAssuranceBody,"559",CHIETA,6,MQA Learner,"<AD_Ref_List>: Updated CHIETA / <AD_Ref_List>: Updated CHIETA / "
ZZLkpQualityAssuranceBody,"561",CTFL,47,MQA Learner,"<AD_Ref_List>: Updated CTFL / <AD_Ref_List>: Updated CTFL / "
ZZLkpQualityAssuranceBody,"577",CETA,4,MQA Learner,"<AD_Ref_List>: Updated CETA / <AD_Ref_List>: Updated CETA / "
ZZLkpQualityAssuranceBody,"581",ETDP,7,MQA Learner,"<AD_Ref_List>: Updated ETDP / <AD_Ref_List>: Updated ETDP / "
ZZLkpQualityAssuranceBody,"583",ESETA,51,MQA Learner,"<AD_Ref_List>: Updated ESETA / <AD_Ref_List>: Updated ESETA / "
ZZLkpQualityAssuranceBody,"585",FASSET,8,MQA Learner,"<AD_Ref_List>: Updated FASSET / <AD_Ref_List>: Updated FASSET / "
ZZLkpQualityAssuranceBody,"587",FOODBEV,11,MQA Learner,"<AD_Ref_List>: Updated FOODBEV / <AD_Ref_List>: Updated FOODBEV / "
ZZLkpQualityAssuranceBody,"589",FIETA,10,MQA Learner,"<AD_Ref_List>: Updated FIETA / <AD_Ref_List>: Updated FIETA / "
