"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZArtisanCode","ZZArtisanTitle","ZZCredits","RegistrationStartDate","RegistrationEndDate","ZZCanCompleteBefore18","ZZIsTvetncv","ZZMigrateValues"
*,1,Y,"1 1",CARPENTER AND JOINER General,0,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:1
*,2,Y,"10 2",MILLWRIGHT Metalliferous,0,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:1
*,3,Y,"11 2",PLATER (BOILERMAKER) Metalliferous,0,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:1
*,4,Y,"12 3",PLATER (BOILERMAKER) Coal,37,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:1
*,5,Y,"13 3",FITTER (INCL. MACHINING) Coal,78,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:1
*,6,Y,"14 3",MILLWRIGHT Coal,136,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:1
*,7,Y,"15 3",PLATER (WELDER) Coal,45,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:1
*,8,Y,"16 3",FITTER & TURNER Coal,88,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:1
*,9,Y,"16Q160007351763",National Certificate Winding Engine Driving,127,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZTradeQualification:ZZTradeQualification_ID:6
*,10,Y,"16Q160008001764",National Certificate: Instrumentation Mechanician,99,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ZZTradeQualification:ZZTradeQualification_ID:13;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1180
*,11,Y,"16Q160008001764 (V2)",National Certificate Instrumentation Mechanician,99,2009-10-01 00:00:00.000,2012-10-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZTradeQualification:ZZTradeQualification_ID:13;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1180
*,12,Y,"16Q160008001764 (V3)",National Certificate Instrumentation Mechanician,99,2009-10-01 00:00:00.000,2012-10-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZTradeQualification:ZZTradeQualification_ID:13;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1180
*,13,Y,"16Q160008001764 (V4)",National Certificate Instrumentation Mechanician,99,2009-10-01 00:00:00.000,2012-10-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZTradeQualification:ZZTradeQualification_ID:13;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1180
*,14,Y,"16Q160009001273",National Certificate: Rigger Ropesman: Surface / Underground,120,2007-01-01 00:00:00.000,2012-06-30 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ZZTradeQualification:ZZTradeQualification_ID:18;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1079
*,15,Y,"16Q160009001273 (V2)",National Certificate: Rigger Ropesman: Surface / Underground,120,2015-07-01 00:00:00.000,2018-06-30 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZTradeQualification:ZZTradeQualification_ID:18;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1079
*,16,Y,"16Q160009001273 (V3)",National Certificate Rigger Ropesman - Surface/Underground (V3),120,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZTradeQualification:ZZTradeQualification_ID:18;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1079
*,17,Y,"16Q160010001273",National Certificate: Rigger Ropesman: Open Cast,120,2007-01-01 00:00:00.000,2012-06-30 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ZZTradeQualification:ZZTradeQualification_ID:18;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1079
*,18,Y,"16Q160010001273 (V2)",National Certificate: Rigger Ropesman: Open Cast,120,2015-07-01 00:00:00.000,2018-06-30 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZTradeQualification:ZZTradeQualification_ID:18;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1079
*,19,Y,"16Q160010001273 (V3)",National Certificate Rigger Ropesman - Opencast (V3),120,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZTradeQualification:ZZTradeQualification_ID:18
*,20,Y,"16Q160011001303",National Certificate: Diesel Mechanic: Underground Diamonds,120,2009-07-01 00:00:00.000,2012-06-30 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ZZTradeQualification:ZZTradeQualification_ID:9;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1105
*,21,Y,"16Q160011001303 (V2)",National Certificate: Diesel Mechanic: Underground Diamonds,120,2003-01-01 00:00:00.000,2003-01-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZTradeQualification:ZZTradeQualification_ID:9;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1105
*,22,Y,"16Q160011001303 (V3)",Diesel Mechanic - Underground Diamonds,120,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZTradeQualification:ZZTradeQualification_ID:9
*,23,Y,"16Q160012001623",National Certificate: Diesel Mechanic: Coal,120,2007-01-01 00:00:00.000,2012-06-30 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ZZTradeQualification:ZZTradeQualification_ID:9;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1105
*,24,Y,"16Q160012001623 (V2)",National Certificate: Diesel Mechanic: Coal,120,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZTradeQualification:ZZTradeQualification_ID:9;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1105
*,25,Y,"16Q160012001623 (V3)",National Certificate Diesel Mechanic - Coal,120,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZTradeQualification:ZZTradeQualification_ID:9
*,26,Y,"16Q160013001493",National Certificate: Diesel Mechanic: Metalliferous,120,2007-01-01 00:00:00.000,2012-06-30 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ZZTradeQualification:ZZTradeQualification_ID:9;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1105
*,27,Y,"16Q160013001493 (V2)",National Certificate: Diesel Mechanic: Metalliferous,120,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZTradeQualification:ZZTradeQualification_ID:9;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1105
*,28,Y,"16Q160013001493 (V3)",National Certificate Diesel Mechanic - Metalliferous (V3),120,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZTradeQualification:ZZTradeQualification_ID:9;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1105
*,29,Y,"16Q160014001373",National Certificate: Diesel Mechanic: Surface Diamonds,120,2007-01-01 00:00:00.000,2012-06-30 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ZZTradeQualification:ZZTradeQualification_ID:9;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1105
*,30,Y,"16Q160014001373 (V2)",National Certificate: Diesel Mechanic: Surface Diamonds,120,2015-07-01 00:00:00.000,2018-06-30 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZTradeQualification:ZZTradeQualification_ID:9;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1105
*,31,Y,"16Q160014001373 (V3)",National Certificate Diesel Mechanic - Surface Diamonds,120,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZTradeQualification:ZZTradeQualification_ID:9
*,32,Y,"16Q160015001683",National Certificate Plater/Welder - Underground Diamonds,120,2007-01-01 00:00:00.000,2012-06-30 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ZZTradeQualification:ZZTradeQualification_ID:9;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1070
*,33,Y,"16Q160016001333",National Certificate Plater/Welder - Coal,0,2007-01-01 00:00:00.000,2012-06-30 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ZZTradeQualification:ZZTradeQualification_ID:15;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1070
*,34,Y,"16Q160016001333 (V2)",National Certificate Plater/Welder - Coal,0,2015-07-01 00:00:00.000,2018-06-30 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZTradeQualification:ZZTradeQualification_ID:15;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1070
*,35,Y,"16Q160016001333 (V3)",National Certificate Plater/Welder - Coal (V3),0,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZTradeQualification:ZZTradeQualification_ID:15
*,36,Y,"16Q160017001773",National Certificate: Plater/Welder: Metalliferous,0,2007-01-01 00:00:00.000,2012-06-30 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ZZTradeQualification:ZZTradeQualification_ID:15;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1070
*,37,Y,"16Q160017001773 (V2)",National Certificate: Plater/Welder: Metalliferous,0,2015-07-01 00:00:00.000,2018-06-30 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZTradeQualification:ZZTradeQualification_ID:15;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1070
*,38,Y,"16Q160017001773 (V3)",National Certificate Plater/Welder - Metalliferous (V3),0,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZTradeQualification:ZZTradeQualification_ID:15;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1070
*,39,Y,"16Q160018001523",National Certificate: Plater/Welder: Diamonds Opencast,0,2007-01-01 00:00:00.000,2012-06-30 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ZZTradeQualification:ZZTradeQualification_ID:15;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1070
*,40,Y,"16Q160018001523 (V2)",National Certificate: Plater/Welder: Diamonds Opencast,0,2015-07-01 00:00:00.000,2018-06-30 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZTradeQualification:ZZTradeQualification_ID:15;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1070
*,41,Y,"16Q160018001523 (V3)",National Certificate Plater/Welder-Diamond Opencast (V3),0,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZTradeQualification:ZZTradeQualification_ID:15
*,42,Y,"16Q160018001623",National Certificate: Plater/Welder: Underground Diamonds,0,2007-01-01 00:00:00.000,2012-06-30 00:00:00.000,N,,ref:ZZLkpArtisanType:ZZArtisanType:2;ZZTradeQualification:ZZTradeQualification_ID:15;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1070
