"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZGrantName","ZZGrantDescription","ZZGrantPercentage","ZZPayable","ZZMinimumAmount","ZZMigrateValues"
*,1,Y,Learnerships Grant,Learnerships Grant,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:2;C_Year:C_Year_ID:1
*,2,Y,Mandatory grant,MAN,50.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:1;C_Year:C_Year_ID:2
*,3,Y,Skills Programme SLA Grant,PSLA,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:16;C_Year:C_Year_ID:2
*,4,Y,Skills Programme SLA Grant,PSLA,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:16;C_Year:C_Year_ID:3
*,5,Y,Mandatory Grant A,MANA,15.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:24;C_Year:C_Year_ID:3
*,6,Y,Mandatory Grant B,MANB,50.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:25;C_Year:C_Year_ID:3
*,7,Y,Skills Programme SLA Grant,PSLA,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:16;C_Year:C_Year_ID:4
*,8,Y,Mandatory Grant A,MANA,15.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:24;C_Year:C_Year_ID:4
*,9,Y,Mandatory Grant B,MANB,45.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:25;C_Year:C_Year_ID:4
*,10,Y,Skills Programme SLA Grant,PSLA,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:16;C_Year:C_Year_ID:5
*,11,Y,Mandatory Grant A,MANA,15.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:24;C_Year:C_Year_ID:5
*,12,Y,Mandatory Grant B,MANB,45.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:25;C_Year:C_Year_ID:5
