AD_Org_ID[Name],ZZMigrationCode/K,IsActive,ZZLearnership_ID[ZZLearnershipCode],ZZUnitStandardType,ZZMigrateValues,_LOG_
*,1,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:83,"<ZZLearnershipUnitStandard>: Inserted GenericPO[Table=1000265ID=1000000] / <ZZLearnershipUnitStandard>: Inserted GenericPO[Table=1000265ID=1000000] / "
*,2,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:84,"<ZZLearnershipUnitStandard>: Inserted GenericPO[Table=1000265ID=1000001] / <ZZLearnershipUnitStandard>: Inserted GenericPO[Table=1000265ID=1000001] / "
*,3,Y,16Q160080421273,Core,ZZUnitStandard:ZZUnitStandard_id:85,"<ZZLearnershipUnitStandard>: Inserted GenericPO[Table=1000265ID=1000002] / <ZZLearnershipUnitStandard>: Inserted GenericPO[Table=1000265ID=1000002] / "
*,3,Y,16Q160080421273,Fundamental,ZZUnitStandard:ZZUnitStandard_id:85,"<ZZLearnershipUnitStandard>: A record already exists (ZZLearnershipUnitStandard.ZZMigrationCode=3) / <ZZLearnershipUnitStandard>: A record already exists (ZZLearnershipUnitStandard.ZZMigrationCode=3) / "
*,3,Y,16Q160080421273,Elective,ZZUnitStandard:ZZUnitStandard_id:85,"<ZZLearnershipUnitStandard>: A record already exists (ZZLearnershipUnitStandard.ZZMigrationCode=3) / <ZZLearnershipUnitStandard>: A record already exists (ZZLearnershipUnitStandard.ZZMigrationCode=3) / "
*,3,Y,16Q160080421273,Compulsory Elective,ZZUnitStandard:ZZUnitStandard_id:85,"<ZZLearnershipUnitStandard>: A record already exists (ZZLearnershipUnitStandard.ZZMigrationCode=3) / <ZZLearnershipUnitStandard>: A record already exists (ZZLearnershipUnitStandard.ZZMigrationCode=3) / "
*,4,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:87,"<ZZLearnershipUnitStandard>: Inserted GenericPO[Table=1000265ID=1000003] / <ZZLearnershipUnitStandard>: Inserted GenericPO[Table=1000265ID=1000003] / "
*,5,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:88,"<ZZLearnershipUnitStandard>: Inserted GenericPO[Table=1000265ID=1000004] / <ZZLearnershipUnitStandard>: Inserted GenericPO[Table=1000265ID=1000004] / "
*,6,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:89,"<ZZLearnershipUnitStandard>: Inserted GenericPO[Table=1000265ID=1000005] / <ZZLearnershipUnitStandard>: Inserted GenericPO[Table=1000265ID=1000005] / "
*,7,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:90,"<ZZLearnershipUnitStandard>: Inserted GenericPO[Table=1000265ID=1000006] / <ZZLearnershipUnitStandard>: Inserted GenericPO[Table=1000265ID=1000006] / "
*,8,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:91,"<ZZLearnershipUnitStandard>: Inserted GenericPO[Table=1000265ID=1000007] / <ZZLearnershipUnitStandard>: Inserted GenericPO[Table=1000265ID=1000007] / "
