"AD_Org_ID[Name]","ZZLearnershipTitle","ZZLearnershipCode","ZZLearnershipType","ZZQualification_ID[ZZSaqaQualificationCode]","ZZNqfLevel","ZZCredits","ZZQualityAssuranceBody","Registrationstartdate","Registrationenddate","ZZMinimumElectiveCredits","IsActive","ZZMigrationCode/K","ZZMigrateValues",_LOG_
*,National Certificate Professional Driving Level 3,"26Q260009212053",,"13716","3",140,,2005-04-11 00:00:00.000,2005-04-11 00:00:00.000,0,Y,1,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000786] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000786] / "
*,NQF 4 National Diploma In Abet Practices,"07Q070004121204",,"20838","4",120,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,Y,2,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000787] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000787] / "
*,Customer Management,"23Q230017211344",,"20907","4",134,,2005-09-13 00:00:00.000,2005-09-13 00:00:00.000,0,Y,3,,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000788] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000788] / "
*,National Certificate: Mining Operations: Underground Coal: Wall Mining,"16Q160080421273",,"21812","3",127,,2007-11-14 00:00:00.000,2007-11-14 00:00:00.000,0,Y,4,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000789] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000789] / "
*,National Certificate: Mining Operations: Underground Coal: Continuous Mining,"16Q1600746441303",,"21812","3",127,,2002-03-22 00:00:00.000,2002-03-22 00:00:00.000,0,Y,5,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000790] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000790] / "
*,National Certificate: Mining Operations: Underground Coal: Blasting Operations,"16Q160082441503",,"21812","3",149,,2007-11-14 00:00:00.000,2007-11-14 00:00:00.000,0,Y,6,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000791] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000791] / "
*,National Certificate: Engineering Maintenance and Repairing for Underground Coal Mining: Breaking Services,"16Q160058661842",,"21814","2",184,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,Y,7,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000792] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000792] / "
*,National Certificate: Engineering Maintenance and Repairing for Underground Coal Mining: Wall Mining,"16Q160057581672",,"21814","2",167,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,Y,8,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000793] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000793] / "
*,National Certificate: Engineering Maintenance and Repairing for Underground Coal Mining: Continuous Mining,"16Q160056692062",,"21814","2",206,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,Y,9,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000794] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000794] / "
*,National Certificate: Engineering Maintenance and Repairing for Underground Coal Mining: Conventional Mining,"16Q160055702072",,"21814","2",207,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,Y,10,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000795] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000795] / "
*,National Certificate: Engineering Maintenance: Underground Hard Rock (Metalliferous) : Horizontal Transport,"16Q160048501622",,"21815","3",139,,2002-03-22 00:00:00.000,2002-03-22 00:00:00.000,0,Y,11,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000796] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000796] / "
*,National Certificate: Engineering Maintenance: Underground Hard Rock (Metalliferous) : Stoping and Developing,"16Q16004951732",,"21815","3",173,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,Y,12,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49,"<ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000797] / <ZZLearnership>: Inserted GenericPO[Table=1000257ID=1000797] / "
