"AD_Org_ID[Name]","ZZQctoLearnership_ID[ZZLearnershipCode]","ZZQCTOModule_ID[ZZModuleCode]","ZZModuleType","IsActive","ZZMigrationCode/K",_LOG_
*,"16Q20231213",QModule1,Core,N,6,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"16Q202503",QModule1,Core,Y,445,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"16Q20231213",QMod3,Core,Y,1,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"16Q20231214",QMod3,Core,Y,2,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"16Q11012024",QMod3,Core,Y,7,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"16Q12012024",QMod3,Core,Y,10,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"16Q20240116",QMod3,Core,Y,12,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"28062024TEST",QMod3,Core,Y,375,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"16Q202503",QMod3,Core,Y,444,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"16Q20231213",QMod4,Elective,N,3,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"16Q20231214",QMod4,Elective,Y,4,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"16Q20231213",QMod4,Elective,Y,5,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"16Q11012024",QMod4,Elective,N,8,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"16Q11012024",QMod4,Core,Y,9,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"16Q12012024",QMod4,Elective,Y,11,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320008173954","651302000-KM-01",Core,Y,13,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320008173954","651302000-KM-01",Core,Y,29,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320008173954","651302000-KM-02",Core,Y,14,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320008173954","651302000-KM-02",Core,Y,30,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
