"AD_Org_ID[Name]","ZZModuleCode","ZZModuleTitle","ZZQualityAssuranceBody","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZNqfLevel","ZZLearningType","ZZModuleType","IsActive","ZZMigrationCode/K","ZZMigrateValues",_LOG_
*,QModule1,QCTO module1,"629",20,2023-12-13 00:00:00.000,2025-12-13 00:00:00.000,2024-12-13 00:00:00.000,2026-12-13 00:00:00.000,"2",Application,Core,Y,1,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:4758,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000579] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000579] / "
*,QModule2,QCTO module Expired,"629",10,2022-12-13 00:00:00.000,2023-12-01 00:00:00.000,2023-11-02 00:00:00.000,2023-12-30 00:00:00.000,"2",Knowledge,Elective,Y,2,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000580] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000580] / "
*,QMod3,Module3,"629",60,2023-12-14 00:00:00.000,2025-12-14 00:00:00.000,2026-12-14 00:00:00.000,2027-12-14 00:00:00.000,"2",Work experience,Core,Y,3,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000581] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000581] / "
*,QMod4,Module4,"629",60,2023-12-14 00:00:00.000,2025-12-14 00:00:00.000,2025-12-14 00:00:00.000,2026-12-14 00:00:00.000,"3",Knowledge,Elective,Y,4,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000582] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000582] / "
*,QCTOm1601,QCTOlive module1,"629",5,2024-01-01 00:00:00.000,2028-01-16 00:00:00.000,2027-01-16 00:00:00.000,2028-01-31 00:00:00.000,"2",Application,Core,Y,5,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:4758,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000583] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000583] / "
*,"651302000-KM-01",Introduction to Boilermaker Trade,"629",9,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,6,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000584] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000584] / "
*,"651302000-KM-02","Boilermaker Tools, Equipment, Machines and Materials","629",10,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,7,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000585] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000585] / "
*,"651302000-KM-03",Fabrication and Pipework,"629",23,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,8,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000586] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000586] / "
*,"651302000-KM-04",Assembling and Joining,"629",14,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,9,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000587] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000587] / "
*,"651302000-KM-05",Cutting and Welding,"629",20,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,10,,"<ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000588] / <ZZQctoModule>: Inserted GenericPO[Table=1000258ID=1000588] / "
