"AD_Org_ID[Name]","ZZQctoSkillsProgramme_ID[ZZSkillsProgrammeCode]","ZZQCTOModule_ID[ZZModuleCode]","ZZModuleType","IsActive","ZZMigrationCode/K",_LOG_
*,MQA/SP/2023/12,QModule1,Core,Y,1,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,MQA/SP/2023/12,QModule2,Elective,Y,2,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,MQA/SP/2023/20,QMod3,Core,Y,3,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,MQA/SP/2023/20,QMod4,Core,N,4,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,MQA/SP/2023/20,QModule1,Core,N,5,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,MQA/SP/2023/20,QModule2,Core,N,6,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,MQA/SP/2023/20,QMod4,Elective,N,7,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,MQA/SP/2023/20,QModule1,Elective,N,8,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,MQA/SP/2023/20,QModule2,Elective,Y,9,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,MQA/SP/2024/16,QMod4,Core,Y,10,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-xxx_MQA Test,"312102-000-00-KM-01",Core,Y,11,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-xxx_MQA Test,"312102-000-00-KM-02",Core,Y,12,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-xxx_MQA Test,"312102-000-00-KM-03",Core,Y,13,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-xxx_MQA Test,"312102-000-00-KM-04",Core,Y,14,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-xxx_MQA Test,"312102-000-00-KM-05",Core,Y,15,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-xxx_MQA Test,"312102-000-00-PM-01",Core,Y,16,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-xxx_MQA Test,"312102-000-00-PM-02",Core,Y,17,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-xxx_MQA Test,"312102-000-00-PM-03",Core,Y,18,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-xxx_MQA Test,"312102-000-00-WM-01",Core,Y,19,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-xxx_MQA Test,"312102-000-00-WM-02",Core,Y,20,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-xxx_MQA Test,"831101-006-00-00-PM-01",Core,Y,21,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-xxx_MQA Test,"831101-006-00-KM-01",Core,Y,22,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-230371,"900217-000-00- KM-01",Core,Y,23,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-230371,"900217-000-00- PM-01",Core,Y,24,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-230371,"900217-000-00- PM-02",Core,Y,25,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,MQA/SP/2025/04,QMod3,Core,Y,26,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
