"AD_Org_ID[Name]","ZZSAQAQualificationCode","ZZSAQAQualificationTitle","ZZNqfLevel","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZQualityAssuranceBody","ZZQualificationType","ZZReplacementQualification_ID[ZZSAQAQualificationCode]","ZZNewRegistrationStartDate","ZZNewRegistrationEndDate","ZZNewLastEnrolmentDate","ZZNewLastAchievementDate","ZZIsReplacement","ZZIsReregistered","ZZMinimumElectiveCredits","IsActive","ZZMigrationCode/K","ZZMigrateValues",_LOG_
*,"23624",National Certificate Diesel Mechanic ,"3",120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,,Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,N,1,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1105,"<ZZQualification>: Inserted X_ZZQualification[1000573Name=null] / <ZZQualification>: Inserted X_ZZQualification[1000573Name=null] / "
*,"23625",National Certificate: Electrical,"4",120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,N,2,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1165,"<ZZQualification>: Inserted X_ZZQualification[1000574Name=null] / <ZZQualification>: Inserted X_ZZQualification[1000574Name=null] / "
*,"23626",National Certificate Fitting and Turning ,"3",120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,N,3,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1090,"<ZZQualification>: Inserted X_ZZQualification[1000575Name=null] / <ZZQualification>: Inserted X_ZZQualification[1000575Name=null] / "
*,"23627",National Certificate Fitting (Including Machining) ,"3",120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,N,4,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1102,"<ZZQualification>: Inserted X_ZZQualification[1000576Name=null] / <ZZQualification>: Inserted X_ZZQualification[1000576Name=null] / "
*,"23628",National Certificate: Instrumentation Mechanician,"4",99,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,N,5,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1174,"<ZZQualification>: Inserted X_ZZQualification[1000577Name=null] / <ZZQualification>: Inserted X_ZZQualification[1000577Name=null] / "
*,"23813",National Certificate Rigger Ropesman,"3",120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,N,6,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1079,"<ZZQualification>: Inserted X_ZZQualification[1000578Name=null] / <ZZQualification>: Inserted X_ZZQualification[1000578Name=null] / "
*,"21841",National Certificate in Winding Engine Driving,"3",127,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,7,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1396,"<ZZQualification>: Inserted X_ZZQualification[1000579Name=null] / <ZZQualification>: Inserted X_ZZQualification[1000579Name=null] / "
*,"21844",National Certificate in Jewellery Manufacture in a Production Environment,"3",159,2005-08-03 00:00:00.000,2008-08-23 00:00:00.000,2013-08-23 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,8,,"<ZZQualification>: Inserted X_ZZQualification[1000580Name=null] / <ZZQualification>: Inserted X_ZZQualification[1000580Name=null] / "
*,"21846",National Certificate in Diamond Processing Operator,"2",120,2005-08-23 00:00:00.000,2008-08-23 00:00:00.000,2012-08-23 00:00:00.000,1900-01-01 00:00:00.000,,Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,9,,"<ZZQualification>: Inserted X_ZZQualification[1000581Name=null] / <ZZQualification>: Inserted X_ZZQualification[1000581Name=null] / "
*,"21814",National Certificate in Engineering Maintenance and Repairing for Underground Coal Mining,"2",148,2018-07-01 00:00:00.000,2026-06-30 00:00:00.000,2026-06-30 00:00:00.000,2029-06-30 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,10,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49,"<ZZQualification>: Inserted X_ZZQualification[1000582Name=null] / <ZZQualification>: Inserted X_ZZQualification[1000582Name=null] / "
