"AD_Org_ID[Name]","ZZSkillsProgrammeCode","ZZSkillsProgrammeTitle","ZZNqfLevel","ZZCredits","Registrationstartdate","Registrationenddate","ZZQualityAssuranceBody","ZZSkillsProgrammeType","ZZQualification_ID[ZZSaqaQualificationCode]","ZZAETLevel","ZZMinimumElectiveCredits","ZZSkillsProgrammeGrantType","ZZIsOHS","IsActive","ZZMigrationCode/K","ZZMigrateValues",_LOG_
*,MQA/SP/0002/03,Skills Programme: Secondary Blasting Operations for Underground Hard Rock Tabular,,50,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,Standalone,,,4,,N,Y,1,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000893Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000893Name=null] / "
*,MQA/SP/0012/03,Skills Programme: Secondary Blasting Operations for Underground Hard Rock Massive ,,77,2003-12-12 00:00:00.000,2006-12-12 00:00:00.000,,Standalone,,,1,,N,Y,2,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000894Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000894Name=null] / "
*,MQA/SP/0013/03,Skills Programme: Basic construction materials testing,,29,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,2,,N,Y,3,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000895Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000895Name=null] / "
*,MQA/SP/0014/03,Skills Programme: Competent Person A:  To examination and declaring a workplace safe in surface mining operations (Surface Mining Operations),,13,2003-12-12 00:00:00.000,2010-03-03 00:00:00.000,,Standalone,,,0,,N,Y,4,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000896Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000896Name=null] / "
*,MQA/SP/0015/03,"Skills Programme: The examination,making safe and declaring safe of blasted quarries, dumps and stockpiles",,30,2003-12-12 00:00:00.000,2010-08-12 00:00:00.000,,Standalone,,,0,,N,Y,5,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000897Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000897Name=null] / "
*,MQA/SP/0016/04,"Skills Programme: Transportation of men, material and ore to and from an underground workplace (Onsetter)",,27,2003-10-28 00:00:00.000,2010-05-31 00:00:00.000,,Standalone,,,2,,N,Y,6,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000898Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000898Name=null] / "
*,MQA/SP/0022/05,Skills Programme: Dozing Operations,,128,2004-03-11 00:00:00.000,2007-03-11 00:00:00.000,,Standalone,,,46,,N,Y,7,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000899Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000899Name=null] / "
*,MQA/SP/0024/05,Skills Programme: Excavating Operations,,84,2004-03-11 00:00:00.000,2007-03-11 00:00:00.000,,Standalone,,,2,,N,Y,8,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000900Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000900Name=null] / "
*,MQA/SP/0018/05,Skills Programme: Haul and Dump Operations,,68,2004-10-23 00:00:00.000,2007-10-23 00:00:00.000,,Standalone,,,10,,N,Y,9,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000901Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000901Name=null] / "
*,MQA/SP/0021/05,Skills Programme: Drilling Operations,,70,2004-03-11 00:00:00.000,2007-03-11 00:00:00.000,,Standalone,,,6,,N,Y,10,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000902Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000902Name=null] / "
*,MQA/SP/0020/05,Skills Programme: Handling of Explosives in Quarries,,11,2004-01-08 00:00:00.000,2009-11-17 00:00:00.000,,Standalone,,,0,,N,Y,11,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000903Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000903Name=null] / "
*,MQA/SP/0019/05,Skills Programme: The Management of Explosives Magazines on Mines and Quarries,,14,2003-10-03 00:00:00.000,2006-10-03 00:00:00.000,,Standalone,,,4,,N,Y,12,,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000904Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000904Name=null] / "
*,MQA/SP/0023/04,Skillls Programme: Manufacture Indiginous Jewellery,,24,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,N,Y,13,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1272,"<ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000905Name=null] / <ZZSkillsProgramme>: Inserted X_ZZSkillsProgramme[1000905Name=null] / "
