"AD_Org_ID[Name]","ZZSaqaUnitStandardCode","ZZSaqaUnitStandardTitle","ZZNqfLevel","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZReplacementUnitStandard_ID[ZZSaqaUnitStandardCode]","ZZQualityAssuranceBody","ZZNewRegistrationStartDate","ZZNewRegistrationEndDate","ZZNewLastEnrolmentDate","ZZNewLastAchievementDate","ZZIsReplacement","ZZIsReregistered","ZZMqaUnitStandardCode","ZZMigrationCode/K",_LOG_
*,"9757",Screen broken material to determine the particle size distribution.,"2",6,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Sur-G002,1,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000000] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000000] / "
*,"9758",Quarter broken material to obtain a representative sample.,"2",4,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Sur-G003,2,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000001] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000001] / "
*,"9752",Prepare samples  for assaying purposes,"3",5,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Sur-G005,3,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000002] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000002] / "
*,"9754",Mark off and map face sampling sections for mineral evaluation purposes,"4",11,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Sur-G007,4,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000003] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000003] / "
*,"9760",Attend to a survey point in an underground environment ,"2",5,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Sur-G201,5,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000004] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000004] / "
*,"9762",Plot and project survey points,"4",8,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Sur-G203,6,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000005] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000005] / "
*,"9763",Establish sidegrade pegs in a flat development end.,"4",7,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Sur-G204,7,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000006] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000006] / "
*,"11122",Perform tape surveys,"4",7,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Sur-G206 ,8,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000007] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000007] / "
*,"9793",Make a working place safe in a long and short wall coal mining panel.,"3",3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,RoC-G001 ,9,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000008] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000008] / "
*,"9794",Make a working place safe in a coal pillar extraction panel.,"3",3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,RoC-G002,10,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000009] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000009] / "
*,"9795",Make a working place safe in a bord and pillar coal-mining panel.,"3",3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,RoC-G003,11,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000010] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000010] / "
*,"10593",Make a working place safe in a tabular hard rock stope panel in shallow geotechnical conditions.,"3",3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,RoC-G004,12,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000011] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000011] / "
*,"9797",Make a working place safe in a tabular hard rock stope panel in deep geotechnical conditions.,"3",3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,RoC-G005,13,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000012] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000012] / "
*,"9798",Make a large excavation safe in shallow geotechnical conditions.,"3",3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,RoC-G006,14,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000013] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000013] / "
*,"9799",Make a large excavation safe in deep geotechnical conditions.	,"3",3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,RoC-G007 ,15,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000014] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000014] / "
*,"9800",Make a working place safe in a vertical shaft.,"3",3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,RoC-G008 ,16,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000015] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000015] / "
*,"9801",Make a working place safe in an incline or decline shaft.,"3",3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,RoC-G009 ,17,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000016] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000016] / "
*,"9802",Make a working place safe in a high wall open pit or strip mine.,"3",3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,RoC-G010,18,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000017] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000017] / "
*,"9803",Make a working place safe in a tunnel development end in shallow geotechnical conditions.,"3",3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,RoC-G011,19,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000018] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000018] / "
*,"9804",Make a working place safe in a tunnel development end in deep geotechnical conditions.,"3",3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,RoC-G012,20,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000019] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000019] / "
*,"9806",Achieve and maintaing mining excavation stability with support in a tabular hard rock stope panel in deep geotechnical conditions. ,"2",3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,RoC-G017,21,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000020] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000020] / "
*,"9807",Achieve and maintain mining excavation stability with support in a large excavation in shallow geotechnical conditions.,"2",3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,RoC-G018 ,22,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000021] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000021] / "
*,"9808",Achieve and maintain mining excavation stability with support in a large excavation in deep geotechnical conditions.,"2",3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,RoC-G019 ,23,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000022] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000022] / "
*,"9810",Achieve and maintain mining excavation stability with support installation in an incline or decline shaft.,"2",3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,RoC-G021,24,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000023] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000023] / "
*,"9811",Achieve and maintain mining excavation stability with support installation in a high wall open pit or strip mine.,"2",3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,RoC-G022,25,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000024] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000024] / "
*,"9813",Achieve and maintain mining excavation stability with support installation in a tunnel development end in deep geotechnical conditions.,"2",3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,RoC-G024 ,26,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000025] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000025] / "
*,"9685",Extend tracks by means of jump-sets and sliding rails,"1",2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,MnH-G008,27,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000026] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000026] / "
*,"9689",Support an underground working place by means of stick support.,"2",2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,MnH-G013,28,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000027] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000027] / "
*,"9697",Remove hazardous ground by means of blasting.,"3",4,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,MnH-G030,29,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000028] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000028] / "
*,"9703",Load material using a Hydraulic Face Shovel with mass exceeding 100000 Kg.,"2",26,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,MnS-G003  ,30,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000029] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000029] / "
*,"9704",Load material using Rope Face Shovel.,"2",26,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,MnS-G004,31,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000030] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000030] / "
*,"9705",Excavate and load material using Hydraulic Excavator with mass not exceeding 50000 Kg. ,"2",26,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,MnS-G005 ,32,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000031] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000031] / "
*,"9706",Excavate and load material using Hydraulic Excavator with mass between 50000 Kg and 100000 Kg. ,"2",26,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,MnS-G006 ,33,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000032] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000032] / "
*,"15312",Retrieve gravel from the seabed,"3",55,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,MnS-G083,34,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000033] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000033] / "
*,"15258",Conduct marine drilling equipment maintenance.,"3",26,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,MnS-G080  ,35,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000034] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000034] / "
*,"15310",Recover drill string,"3",13,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,MnS-G082 ,36,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000035] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000035] / "
*,"9737",Transfer material by means of a belt conveyor,"2",4,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,"629",1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Met-G001,37,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000036] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000036] / "
*,"9721",Crush material by means of a cone-type crusher,"3",8,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Met-G004,38,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000037] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000037] / "
*,"9716",Crush material by means of a jaw crusher,"2",6,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,Met-G006,39,"<ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000038] / <ZZUnitStandard>: Inserted GenericPO[Table=1000254ID=1000038] / "
