"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZLearnershipTitle","ZZLearnershipCode","ZZCredits","Registrationstartdate","Registrationenddate","ZZMinimumElectiveCredits","ZZMigrateValues"
*,1,Y,National Certificate Professional Driving Level 3,"26Q260009212053",140,2005-04-11 00:00:00.000,2005-04-11 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:30
*,2,Y,NQF 4 National Diploma In Abet Practices,"07Q070004121204",120,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:40
*,3,Y,Customer Management,"23Q230017211344",134,2005-09-13 00:00:00.000,2005-09-13 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:77
*,4,Y,National Certificate: Mining Operations: Underground Coal: Wall Mining,"16Q160080421273",127,2007-11-14 00:00:00.000,2007-11-14 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:12;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:49
*,5,Y,National Certificate: Mining Operations: Underground Coal: Continuous Mining,"16Q1600746441303",127,2002-03-22 00:00:00.000,2002-03-22 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:12;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:49
*,6,Y,National Certificate: Mining Operations: Underground Coal: Blasting Operations,"16Q160082441503",149,2007-11-14 00:00:00.000,2007-11-14 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:12;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:49
*,7,Y,National Certificate: Engineering Maintenance and Repairing for Underground Coal Mining: Breaking Services,"16Q160058661842",184,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZQualification:ZZQualification_ID:10;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:49
*,8,Y,National Certificate: Engineering Maintenance and Repairing for Underground Coal Mining: Wall Mining,"16Q160057581672",167,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZQualification:ZZQualification_ID:10;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:49
*,9,Y,National Certificate: Engineering Maintenance and Repairing for Underground Coal Mining: Continuous Mining,"16Q160056692062",206,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZQualification:ZZQualification_ID:10;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:49
*,10,Y,National Certificate: Engineering Maintenance and Repairing for Underground Coal Mining: Conventional Mining,"16Q160055702072",207,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZQualification:ZZQualification_ID:10;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:49
