AD_Org_ID[Name],ZZMigrationCode/K,IsActive,ZZLearnership_ID[ZZLearnershipCode],ZZUnitStandardType,ZZMigrateValues
*,1,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:83
*,2,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:84
*,3,Y,16Q160080421273,Core,ZZUnitStandard:ZZUnitStandard_id:85
*,3,Y,16Q160080421273,Fundamental,ZZUnitStandard:ZZUnitStandard_id:85
*,3,Y,16Q160080421273,Elective,ZZUnitStandard:ZZUnitStandard_id:85
*,3,Y,16Q160080421273,Compulsory Elective,ZZUnitStandard:ZZUnitStandard_id:85
*,4,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:87
*,5,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:88
*,6,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:89
*,7,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:90
*,8,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:91
*,9,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:349
*,10,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:350
*,11,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:351
*,12,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:352
*,13,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:353
*,14,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:354
*,15,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:355
*,16,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:569
*,17,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:587
*,18,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:588
*,19,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:589
*,20,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:590
*,21,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:591
*,22,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:593
*,23,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:594
*,24,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:595
*,25,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:596
*,26,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:598
*,27,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:599
*,28,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:601
*,29,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:602
*,30,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:822
*,31,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:829
*,32,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:985
*,33,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:1165
*,34,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:1166
*,35,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:1173
*,36,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:1176
*,37,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:1188
*,38,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:1190
*,39,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:1196
*,40,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:1326
*,41,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:1518
*,42,Y,16Q160080421273,,ZZUnitStandard:ZZUnitStandard_id:1728
*,43,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:83
*,44,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:84
*,45,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:85
*,46,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:87
*,47,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:88
*,48,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:89
*,49,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:90
*,50,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:91
*,51,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:349
*,52,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:350
*,53,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:351
*,54,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:352
*,55,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:353
*,56,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:354
*,57,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:355
*,58,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:569
*,59,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:587
*,60,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:588
*,61,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:589
*,62,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:590
*,63,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:591
*,64,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:593
*,65,Y,16Q1600746441303,,ZZUnitStandard:ZZUnitStandard_id:594
