"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZMigrateValues"
*,1,Y,ZZUnitStandard:ZZUnitStandard_ID:83;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,2,Y,ZZUnitStandard:ZZUnitStandard_ID:84;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,3,Y,ZZUnitStandard:ZZUnitStandard_ID:85;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,4,Y,ZZUnitStandard:ZZUnitStandard_ID:87;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,5,Y,ZZUnitStandard:ZZUnitStandard_ID:88;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,6,Y,ZZUnitStandard:ZZUnitStandard_ID:89;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,7,Y,ZZUnitStandard:ZZUnitStandard_ID:90;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,8,Y,ZZUnitStandard:ZZUnitStandard_ID:91;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,9,Y,ZZUnitStandard:ZZUnitStandard_ID:349;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,10,Y,ZZUnitStandard:ZZUnitStandard_ID:350;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,11,Y,ZZUnitStandard:ZZUnitStandard_ID:351;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,12,Y,ZZUnitStandard:ZZUnitStandard_ID:352;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,13,Y,ZZUnitStandard:ZZUnitStandard_ID:353;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,14,Y,ZZUnitStandard:ZZUnitStandard_ID:354;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,15,Y,ZZUnitStandard:ZZUnitStandard_ID:355;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,16,Y,ZZUnitStandard:ZZUnitStandard_ID:569;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,17,Y,ZZUnitStandard:ZZUnitStandard_ID:587;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,18,Y,ZZUnitStandard:ZZUnitStandard_ID:588;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,19,Y,ZZUnitStandard:ZZUnitStandard_ID:589;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,20,Y,ZZUnitStandard:ZZUnitStandard_ID:590;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,21,Y,ZZUnitStandard:ZZUnitStandard_ID:591;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,22,Y,ZZUnitStandard:ZZUnitStandard_ID:593;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,23,Y,ZZUnitStandard:ZZUnitStandard_ID:594;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,24,Y,ZZUnitStandard:ZZUnitStandard_ID:595;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,25,Y,ZZUnitStandard:ZZUnitStandard_ID:596;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,26,Y,ZZUnitStandard:ZZUnitStandard_ID:598;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,27,Y,ZZUnitStandard:ZZUnitStandard_ID:599;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,28,Y,ZZUnitStandard:ZZUnitStandard_ID:601;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,29,Y,ZZUnitStandard:ZZUnitStandard_ID:602;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,30,Y,ZZUnitStandard:ZZUnitStandard_ID:822;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,31,Y,ZZUnitStandard:ZZUnitStandard_ID:829;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
