"ZZOfoYear_ID[ZZOfoYear]","Value","Name","ZZMigrationCode","ZZOfoLevelType","IsSummary"
2022,"2021-111101",Local or Provincial Government Legislator,1,,N
2022,"2021-111102",Parliamentarian,2,,N
2022,"2021-111201",Defence Force Senior Officer,3,,N
2022,"2021-111202",General Manager Public Service,4,,N
2022,"2021-111203",Local Authority Manager,5,,N
2022,"2021-111204",Senior Government Official,6,,N
2022,"2021-111205",Senior Police Officer,7,,N
2022,"2021-111206",Ombudsperson,8,,N
2022,"2021-111207",Senior Government Manager,9,,N
2022,"2021-111301",Traditional Leader,10,,N
2022,"2021-111401",Elected Official,11,,N
2022,"2021-111402",Trade Union Representative,12,,N
2022,"2021-111403",Political Party Representative,13,,N
2022,"2021-112101",Director (Enterprise / Organisation),14,,N
2022,"2021-121101",Finance Manager,15,,N
2022,"2021-121102",Payroll Manager,16,,N
2022,"2021-121103",Credit Manager,17,,N
2022,"2021-121104",Internal Audit Manager,18,,N
2022,"2021-121201",Human Resource Manager,19,,N
2022,"2021-121202",Business Training Manager,20,,N
2022,"2021-121203",Compensation and Benefits Manager,21,,N
2022,"2021-121204",Recruitment Manager,22,,N
2022,"2021-121205",Employee Wellness Manager,23,,N
2022,"2021-121206",Health and Safety Manager,24,,N
2022,"2021-121207",Personnel Manager,25,,N
2022,"2021-121301",Policy and Planning Manager,26,,N
2022,"2021-121901",Corporate General Manager,27,,N
2022,"2021-121902",Corporate Services Manager,28,,N
2022,"2021-121903",Physical Asset Manager,29,,N
2022,"2021-121904",Contract Manager,30,,N
2022,"2021-121905",Programme or Project Manager,31,,N
2022,"2021-121906",Franchise Manager,32,,N
2022,"2021-121908",Quality Systems Manager,33,,N
2022,"2021-121909",Sustainability Manager,34,,N
2022,"2021-121910",Water Asset Manager,35,,N
2022,"2021-122101",Sales and Marketing Manager,36,,N
2022,"2021-122102",Sales Manager,37,,N
2022,"2021-122103",Director of Marketing,38,,N
2022,"2021-122104",Interactive and Direct Marketing Strategist,39,,N
2022,"2021-122105",Customer Service Manager,40,,N
2022,"2021-122201",Advertising and Public Relations Manager,41,,N
2022,"2021-122301",Research and Development Manager,42,,N
2022,"2021-131101",Agricultural Farm Manager,43,,N
2022,"2021-131102",Forestry Operations Manager ,44,,N
2022,"2021-131103",Forestry Operations Supervisor,45,,N
2022,"2021-131201",Aquaculture Farm Manager,46,,N
2022,"2021-132101",Manufacturer,47,,N
2022,"2021-132102",Manufacturing Operations Manager,48,,N
2022,"2021-132104",Engineering Manager,49,,N
2022,"2021-132105",Power Generation Operations Manager,50,,N
2022,"2021-132106",Manufacturing Quality Manager,51,,N
2022,"2021-132107",Quality Manager,52,,N
2022,"2021-132108",Metrologist,53,,N
2022,"2021-132109",Quality Systems Auditor,54,,N
2022,"2021-132201",Mining Manager,55,,N
2022,"2021-132202",Mineral Resources Manager,56,,N
2022,"2021-132203",Rock Engineering Manager,57,,N
2022,"2021-132301",Construction Project Manager,58,,N
2022,"2021-132302",Project Builder,59,,N
2022,"2021-132401",Supply and Distribution Manager,60,,N
2022,"2021-132402",Logistics Manager,61,,N
2022,"2021-132403",Road Transport Manager,62,,N
2022,"2021-132404",Warehouse Manager,63,,N
2022,"2021-132405",Fleet Manager,64,,N
2022,"2021-132406",Railway Station Manager,65,,N
2022,"2021-132407",Airport or Harbour Manager,66,,N
2022,"2021-132408",Grain Depot Manager,67,,N
2022,"2021-132409",Fuel Manager,68,,N
2022,"2021-132410",Maritime Search and Rescue Mission Coordinator,69,,N
2022,"2021-133101",Chief Information Officer,70,,N
2022,"2021-133102",ICT Project Manager,71,,N
2022,"2021-133103",Data Management Manager,72,,N
2022,"2021-133104",Application Development Manager,73,,N
2022,"2021-133105",Information Technology Manager,74,,N
2022,"2021-133106",Information Systems Director,75,,N
2022,"2021-134101",Child Care Centre Manager,76,,N
2022,"2021-134201",Medical Superintendent,77,,N
2022,"2021-134202",Nursing Clinical Director,78,,N
2022,"2021-134203",Primary Health Care Manager,79,,N
2022,"2021-134204",Secondary Health Services Manager,80,,N
2022,"2021-134205",Health Service Specialised Clinic Manager,81,,N
2022,"2021-134206",Sport Science Manager,82,,N
2022,"2021-134207",Community Health Manager,83,,N
2022,"2021-134301",Special Care Accommodation Manager,84,,N
2022,"2021-134401",Social Services Manager,85,,N
2022,"2021-134402",Community Development Manager,86,,N
2022,"2021-134403",Child and Youth Care Manager,87,,N
2022,"2021-134501",School Principal,88,,N
2022,"2021-134502",College Principal,89,,N
2022,"2021-134503",Faculty Head,90,,N
2022,"2021-134504",District Education Manager,91,,N
2022,"2021-134505",Educational Rector,92,,N
2022,"2021-134506",Educational Registrar,93,,N
2022,"2021-134507",Departmental Head,94,,N
2022,"2021-134601",Bank Manager,95,,N
2022,"2021-134602",Credit Bureau Manager,96,,N
2022,"2021-134603",Financial Markets Business Manager,97,,N
2022,"2021-134701",Military Manager,98,,N
2022,"2021-134702",Military Commander,99,,N
2022,"2021-134703",Military Warrant Officer,100,,N
2022,"2021-134901",Environmental Manager,101,,N
2022,"2021-134902",Laboratory Manager,102,,N
2022,"2021-134903",Small Business Manager,103,,N
2022,"2021-134904",Office Manager,104,,N
2022,"2021-134905",Judicial Court Manager,105,,N
2022,"2021-134906",Practice Manager,106,,N
2022,"2021-134907",Archives Manager,107,,N
2022,"2021-134908",Library Manager,108,,N
2022,"2021-134909",Museum Manager,109,,N
2022,"2021-134911",Insurance Policy Administration Manager,110,,N
2022,"2021-134912",Commissioned Fire and Rescue Officer,111,,N
2022,"2021-134913",Commissioned Police Officer,112,,N
2022,"2021-134914",Correctional Services Manager,113,,N
2022,"2021-134915",Non Manufacturing Operations Manager,114,,N
2022,"2021-134916",Non Manufacturing Operations Foreman,115,,N
2022,"2021-134917",Publisher,116,,N
2022,"2021-134918",Water production and Supply Manager,117,,N
2022,"2021-134919",Traffic and Law Enforcement Manager,118,,N
2022,"2021-134920",Community Correctional Manager,119,,N
2022,"2021-134921",Disaster Management Manager ,120,,N
2022,"2021-141101",Hotel or Motel Manager,121,,N
2022,"2021-141102",Guest House Manager,122,,N
2022,"2021-141103",Reception Manager,123,,N
2022,"2021-141201",Café (Licensed) or Restaurant Manager,124,,N
2022,"2021-141202",Licensed Club Manager,125,,N
2022,"2021-141203",Catering Production Manager,126,,N
2022,"2021-141204",Reservations Manager,127,,N
2022,"2021-142101",Importer or Exporter,128,,N
2022,"2021-142102",Wholesaler,129,,N
2022,"2021-142103",Retail General Manager,130,,N
2022,"2021-142104",Post Office Manager,131,,N
2022,"2021-143101",Betting Agency Manager,132,,N
2022,"2021-143102",Gaming Manager,133,,N
