"AD_Org_ID[Name]","ZZModuleCode","ZZModuleTitle","ZZQualityAssuranceBody","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","IsActive","ZZMigrationCode/K"
*,"9754",Mark off and map face sampling sections for mineral evaluation purposes,,11,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,1
*,"9685",Extend tracks by means of jump-sets and sliding rails,,2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,2
*,"9689",Support an underground working place by means of stick support.,,2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,3
*,Met-G007,Crush material by means of a roller-type crusher,,6,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,4
*,"10636",Transfer broken rock by means of a diesel-powered Load Haul Dumper (LHD) in an underground mine.,,4,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,5
*,"9595","Transport persons, material, equipment and explosives by means of a fixed saddle utility vehicle in an underground mine.",,3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,6
*,"9596","Transport persons, material, equipment and explosives by means of a light delivery vehicle (LDV) in an underground mine.",,2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,7
*,"9597","Transport persons, material, equipment and explosives by means of an interchangeable-saddle utility vehicle in an underground mine.",,3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,8
*,"9600",Support an underground working place by means of wire mesh and lacing.,,4,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,9
*,"9601",Support an underground work place by means of back-filling.,,4,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,10
*,"116437",Support an underground working place by means of full column grouted rods,,3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,11
*,"9614",Feed and break coal using a feeder breaker in an underground coal mine.,,3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,12
*,"9615",Conduct visual inspection of flameproof equipment in an underground coal mine.,,2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,13
*,"9607",Cut and load a coal-face using continuous mining equipment in an underground coal mine.,,28,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,14
*,"9609",Support roof using a roofbolter in an underground coal mine.,,13,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,15
*,"9610",Sound and bar down roof and side walls using sounding and barring equipment in an underground coal mine.,,4,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,16
*,"9622",Demonstrate an understanding of the prevention of flammable gas ignition through the use of flame proofing in an underground coal mine.,,5,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,17
*,"9611",Conduct statutory examinations in a production section in an underground coal mine.,,3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,18
*,"9612","Test, monitor and control the eight common mine gases in an underground coal mine.",,17,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,19
*,"9573",Maintain a cyclone,,2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,20
*,"252348",Regenerate resin,,4,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,21
*,"252346",Recover gold from solution by means of chemical precipitation(version 2),,4,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,22
*,"9625",Determine the mass of a substance,,2,2002-09-30 00:00:00.000,2005-09-30 00:00:00.000,2002-09-30 00:00:00.000,1900-01-01 00:00:00.000,Y,23
*,"9626",Perform measurements using volumetric equipment,,2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,24
*,"9627",Perform titrimetric analysis.,,3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,25
*,"9634",Prepare analytical samples from a slurry,,4,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,26
*,"9635",Take a representative sample of solid material in a metallurgical process ,,4,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,27
*,"9637",Determine the conductance of a liquid by means of a conductivity meter,,2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,28
*,"9639",Assemble prepared jewellery components without applying heat.,,5,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,29
*,"9638",Set faceted stones in multiple claw or wire settings,,15,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,30
*,"9642",Set faceted stones in multiple tube settings,,15,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,31
*,"9643",Set faceted stones in channel settings,,18,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,32
*,"9644",Tension set a single faceted stone,,2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,33
*,"9645",Flush-set  faceted stones,,15,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,34
*,"243001",Pave and star-set  faceted stones,,15,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,35
*,"9647",Draw and design jewellery,,15,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,36
*,"9648",Manufacture jewellery for single faceted stone settings,,21,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,37
*,"9650",Demonstrate appropriate product knowledge to enable working in a jewellery environment,,11,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,38
*,"9649",Utilize the tools and equipment in a jewellery workshop,,25,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,39
*,"9651",Manufacture non-ferrous and precious metal sheet and bar from granules,,4,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,40
*,"110433",Connect an industrial plug rated higher than 16 Ampere,,2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,41
*,"110394",Install an industrial socket outlet rated higher than 16 Ampere,,2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,42
*,"10635",Install a low voltage supply system in underground workings.,,5,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,43
*,"10639",Advance or retreat electrical reticulation in an underground coal section.,,6,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,44
*,"10647",Install a low voltage gate end box.,,2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,45
*,"10650",Carry out a detailed inspection on a DC motor.,,3,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,46
*,"110387",Carry out a detailed inspection on an overhead trolley line.,,4,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,47
*,"10701",Install an overhead trolley line in an underground haulage.,,6,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,48
*,"10704",Repair an electronic controller on a battery-operated machine.,,5,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,49
