"AD_Org_ID[Name]","ZZLearnershipTitle","ZZLearnershipCode","ZZQCTOLearnershipType","ZZQualification_ID[ZZSaqaQualificationCode]","ZZNqfLevel","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZMinimumElectiveCredits","IsActive","ZZArtisanLearnership","ZZMigrationCode/K","ZZMigrateValues"
*,Non Artisan Learnership,"16Q20231213",Qualification,"23624","4",120,2023-12-14 00:00:00.000,2026-12-14 00:00:00.000,2029-11-30 00:00:00.000,2032-11-29 00:00:00.000,20,Y,N,1,
*,QCTO Artisan Learnership,"16Q20231214",Qualification,"23625","4",120,2023-12-14 00:00:00.000,2026-12-14 00:00:00.000,2029-11-30 00:00:00.000,2032-11-29 00:00:00.000,20,Y,Y,2,
*,QCTO Artisan learnership 2,"16Q11012024",Qualification,"23625","4",120,2024-01-01 00:00:00.000,2027-01-11 00:00:00.000,2029-11-30 00:00:00.000,2032-11-29 00:00:00.000,10,Y,Y,3,
*,QCTO learnership2,"16Q12012024",Qualification,"23624","4",120,2024-01-01 00:00:00.000,2027-01-11 00:00:00.000,2029-11-30 00:00:00.000,2032-11-29 00:00:00.000,20,Y,N,4,
*,QCTO non art learnership,"16Q20240116",Qualification,"23624","4",120,2024-01-02 00:00:00.000,2028-01-16 00:00:00.000,2029-11-30 00:00:00.000,2032-11-29 00:00:00.000,20,Y,N,5,
*,Occupational Certificate: Boilermaker,"32Q320008173954",Qualification,"23628","4",395,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,0,N,Y,6,
*,Occupational Certificate: Boilermaker,"32Q320008173954",Qualification,"21844","4",395,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,0,Y,Y,7,
*,Occupational Certificate: Electrician,"32Q320006223604",Qualification,"21846","4",360,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,0,Y,Y,8,
*,Occupational Certificate: Millwright,"32Q320014336974",Qualification,"21814","4",697,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,0,Y,Y,9,
*,Occupational Certificate: Diesel Mechanic,"32Q320007335404",Qualification,"21845","4",544,2020-07-30 00:00:00.000,2025-07-30 00:00:00.000,2026-07-30 00:00:00.000,2029-07-30 00:00:00.000,0,Y,Y,10,
