"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZLearnershipTitle","ZZLearnershipCode","ZZQCTOLearnershipType","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZMinimumElectiveCredits","ZZArtisanLearnership","ZZMigrateValues"
*,1,Y,Non Artisan Learnership,"16Q20231213",Qualification,120,2023-12-14 00:00:00.000,2026-12-14 00:00:00.000,2029-11-30 00:00:00.000,2032-11-29 00:00:00.000,20,N,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:1;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,2,Y,QCTO Artisan Learnership,"16Q20231214",Qualification,120,2023-12-14 00:00:00.000,2026-12-14 00:00:00.000,2029-11-30 00:00:00.000,2032-11-29 00:00:00.000,20,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:2;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,3,Y,QCTO Artisan learnership 2,"16Q11012024",Qualification,120,2024-01-01 00:00:00.000,2027-01-11 00:00:00.000,2029-11-30 00:00:00.000,2032-11-29 00:00:00.000,10,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:2;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,4,Y,QCTO learnership2,"16Q12012024",Qualification,120,2024-01-01 00:00:00.000,2027-01-11 00:00:00.000,2029-11-30 00:00:00.000,2032-11-29 00:00:00.000,20,N,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:1;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,5,Y,QCTO non art learnership,"16Q20240116",Qualification,120,2024-01-02 00:00:00.000,2028-01-16 00:00:00.000,2029-11-30 00:00:00.000,2032-11-29 00:00:00.000,20,N,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:1;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,6,N,Occupational Certificate: Boilermaker,"32Q320008173954",Qualification,395,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:5;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,7,Y,Occupational Certificate: Boilermaker,"32Q320008173954",Qualification,395,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:8;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,8,Y,Occupational Certificate: Electrician,"32Q320006223604",Qualification,360,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:9;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,9,Y,Occupational Certificate: Millwright,"32Q320014336974",Qualification,697,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:10;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,10,Y,Occupational Certificate: Diesel Mechanic,"32Q320007335404",Qualification,544,2020-07-30 00:00:00.000,2025-07-30 00:00:00.000,2026-07-30 00:00:00.000,2029-07-30 00:00:00.000,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:11;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,11,Y,Occupational Certificate: Goldsmith,"16Q160176005754",Qualification,575,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:12;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,12,Y,Occupational Certificate: Diamond and Gemstone Setter,"16Q118092",Qualification,540,2021-03-25 00:00:00.000,2026-03-25 00:00:00.000,2027-03-25 00:00:00.000,2030-03-25 00:00:00.000,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:13;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,13,Y,Occupational Certificate: Instrument Mechanician,"16Q94701",Qualification,469,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:5;ZZQualification:ZZQualification_ID:14;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,14,Y,Occupational Certificate: Mechanical Fitter,"32Q320013174104",Qualification,410,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:15;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,15,Y,Occupational Certificate: Fitter and Turner,"32Q320009225484",Qualification,548,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:16;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,16,Y,Occupational Certificate: Welder,"16Q94100",Qualification,373,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:17;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
