"AD_Org_ID[Name]","ZZQctoLearnership_ID[ZZLearnershipCode]","ZZQCTOModule_ID[ZZModuleCode]","ZZModuleType","IsActive","ZZMigrationCode/K"
*,"16Q20231213",QModule1,Core,N,6
*,"16Q202503",QModule1,Core,Y,445
*,"16Q20231213",QMod3,Core,Y,1
*,"16Q20231214",QMod3,Core,Y,2
*,"16Q11012024",QMod3,Core,Y,7
*,"16Q12012024",QMod3,Core,Y,10
*,"16Q20240116",QMod3,Core,Y,12
*,"28062024TEST",QMod3,Core,Y,375
*,"16Q202503",QMod3,Core,Y,444
*,"16Q20231213",QMod4,Elective,N,3
*,"16Q20231214",QMod4,Elective,Y,4
*,"16Q20231213",QMod4,Elective,Y,5
*,"16Q11012024",QMod4,Elective,N,8
*,"16Q11012024",QMod4,Core,Y,9
*,"16Q12012024",QMod4,Elective,Y,11
*,"32Q320008173954","651302000-KM-01",Core,Y,13
*,"32Q320008173954","651302000-KM-01",Core,Y,29
*,"32Q320008173954","651302000-KM-02",Core,Y,14
*,"32Q320008173954","651302000-KM-02",Core,Y,30
*,"32Q320008173954","651302000-KM-03",Core,Y,15
*,"32Q320008173954","651302000-KM-03",Core,Y,31
*,"32Q320008173954","651302000-KM-04",Core,Y,16
*,"32Q320008173954","651302000-KM-04",Core,Y,32
*,"32Q320008173954","651302000-KM-05",Core,Y,17
*,"32Q320008173954","651302000-KM-05",Core,Y,33
*,"32Q320008173954","651302000-KM-06",Core,Y,18
*,"32Q320008173954","651302000-KM-06",Core,Y,34
*,"32Q320008173954","651302000-PM-01",Core,Y,19
*,"32Q320008173954","651302000-PM-01",Core,Y,35
*,"32Q320008173954","651302000-PM-02",Core,Y,20
*,"32Q320008173954","651302000-PM-02",Core,Y,36
*,"32Q320008173954","651302000-PM-03",Core,Y,21
*,"32Q320008173954","651302000-PM-03",Core,Y,37
*,"32Q320008173954","651302000-PM-04",Core,Y,22
*,"32Q320008173954","651302000-PM-04",Core,Y,38
*,"32Q320008173954","651302000-PM-05",Core,Y,23
*,"32Q320008173954","651302000-PM-05",Core,Y,39
*,"32Q320008173954","651302000-WM-01",Core,Y,24
*,"32Q320008173954","651302000-WM-01",Core,Y,40
*,"32Q320008173954","651302000-WM-02",Core,Y,25
*,"32Q320008173954","651302000-WM-02",Core,Y,41
*,"32Q320008173954","651302000-WM-03",Core,Y,26
*,"32Q320008173954","651302000-WM-03",Core,Y,42
*,"32Q320008173954","651302000-WM-04",Core,Y,27
*,"32Q320008173954","651302000-WM-04",Core,Y,43
*,"32Q320008173954","651302000-WM-05",Core,Y,28
*,"32Q320008173954","651302000-WM-05",Core,Y,44
*,"32Q320006223604","671101000-KM-01",Core,Y,45
*,"32Q320006223604","671101000-KM-02",Core,Y,46
*,"32Q320006223604","671101000-KM-03",Core,Y,47
*,"32Q320006223604","671101000-KM-04",Core,Y,48
*,"32Q320006223604","671101000-KM-05",Core,Y,49
*,"32Q320006223604","671101000-KM-06",Core,Y,50
*,"32Q320006223604","671101000-KM-07",Core,Y,51
*,"32Q320006223604","671101000-KM-08",Core,Y,52
*,"32Q320006223604","671101000-KM-9",Core,Y,53
*,"32Q320006223604","671101000-PM-01",Core,Y,54
*,"32Q320006223604","671101000-PS-02",Core,Y,55
*,"32Q320006223604","671101000-PS-03",Core,Y,56
*,"32Q320006223604","671101000-PS-04",Core,Y,57
*,"32Q320006223604","671101000-PS-05",Core,Y,58
*,"32Q320006223604","671101000-PS-06",Core,Y,59
*,"32Q320006223604","671101000-PS-07",Core,Y,60
*,"32Q320006223604","671101000-PS-08",Core,Y,61
*,"32Q320006223604","671101000-WM-01",Core,Y,62
*,"32Q320006223604","671101000-WM-02",Core,Y,63
*,"32Q320006223604","671101000-WM-03",Core,Y,64
*,"32Q320006223604","671101000-WM-04",Core,Y,65
*,"32Q320006223604","671101000-WM-05",Core,Y,66
*,"32Q320014336974","671202000-KM-01",Core,Y,67
*,"32Q320014336974","671202000-KM-02",Core,Y,68
*,"32Q320014336974","671202000-KM-03",Core,Y,69
*,"32Q320014336974","671202000-KM-04",Core,Y,70
*,"32Q320014336974","671202000-KM-05",Core,Y,71
*,"32Q320014336974","671202000-KM-06",Core,Y,72
*,"32Q320014336974","671202000-KM-07",Core,Y,73
*,"32Q320014336974","671202000-KM-08",Core,Y,74
*,"32Q320014336974","671202000-KM-09",Core,Y,75
*,"32Q320014336974","671202000-KM-10",Core,Y,76
*,"32Q320014336974","671202000-KM-11",Core,Y,77
*,"32Q320014336974","671202000-PM-01",Core,Y,78
*,"32Q320014336974","671202000-PM-02",Core,Y,79
*,"32Q320014336974","671202000-PM-03",Core,Y,80
*,"32Q320014336974","671202000-PM-04",Core,Y,81
*,"32Q320014336974","671202000-PM-05",Core,Y,82
*,"32Q320014336974","671202000-PM-06",Core,Y,83
*,"32Q320014336974","671202000-PM-07",Core,Y,84
*,"32Q320014336974","671202000-PM-08",Core,Y,85
*,"32Q320014336974","671202000-PM-09",Core,Y,86
*,"32Q320014336974","671202000-PM-10",Core,Y,87
*,"32Q320014336974","671202000-PM-11",Core,Y,88
*,"32Q320014336974","671202000-PM-12",Core,Y,89
*,"32Q320014336974","671202000-PM-13",Core,Y,90
*,"32Q320014336974","671202000-PM-14",Core,Y,91
*,"32Q320014336974","671202000-PM-15",Core,Y,92
*,"32Q320014336974","671202000-PM-16",Core,Y,93
*,"32Q320014336974","671202000-PM-17",Core,Y,94
*,"32Q320014336974","671202000-WM-01",Core,Y,95
*,"32Q320014336974","671202000-WM-02",Core,Y,96
*,"32Q320014336974","671202000-WM-03",Core,Y,97
*,"32Q320014336974","671202000-WM-04",Core,Y,98
*,"32Q320014336974","671202000-WM-05",Core,Y,99
*,"32Q320007335404","653306-000-01-KM-01",Core,Y,100
*,"32Q320007335404","653306-000-01-KM-02",Core,Y,101
*,"32Q320007335404","653306-000-01-KM-03",Core,Y,102
*,"32Q320007335404","653306-000-01-KM-04",Core,Y,103
*,"32Q320007335404","653306-000-01-KM-05",Core,Y,104
*,"32Q320007335404","653306-000-01-KM-06",Core,Y,105
*,"32Q320007335404","653306-000-01-KM-07",Core,Y,106
*,"32Q320007335404","653306-000-01-KM-08",Core,Y,107
*,"32Q320007335404","653306-000-01-PM-01",Core,Y,108
*,"32Q320007335404","653306-000-01-PM-02",Core,Y,109
*,"32Q320007335404","653306-000-01-PM-03",Core,Y,110
*,"32Q320007335404","653306-000-01-PM-04",Core,Y,111
*,"32Q320007335404","653306-000-01-PM-05",Core,Y,112
*,"32Q320007335404","653306-000-01-PM-06",Core,Y,113
*,"32Q320007335404","653306-000-01-PM-07",Core,Y,114
*,"32Q320007335404","653306-000-01-PM-08",Core,Y,115
*,"32Q320007335404","653306-000-01-PM-09",Core,Y,116
*,"32Q320007335404","653306-000-01-PM-10",Core,Y,117
*,"32Q320007335404","653306-000-01-PM-11",Core,Y,118
*,"32Q320007335404","653306-000-01-PM-12",Core,Y,119
*,"32Q320007335404","653306-000-01-PM-13",Core,Y,120
*,"32Q320007335404","653306-000-01-PM-14",Core,Y,121
*,"32Q320007335404","653306-000-01-PM-15",Core,Y,122
*,"32Q320007335404","653306-000-01-PM-16",Core,Y,123
*,"32Q320007335404","653306-000-01-PM-17",Core,Y,124
*,"32Q320007335404","653306-000-01-PM-18",Core,Y,125
*,"32Q320007335404","653306-000-01-WM-01",Core,Y,126
*,"32Q320007335404","653306-000-01-WM-02",Core,Y,127
*,"32Q320007335404","653306-000-01-WM-03",Core,Y,128
*,"32Q320007335404","653306-000-01-WM-04",Core,Y,129
*,"32Q320007335404","653306-000-01-WM-05",Core,Y,130
*,"32Q320007335404","653306-000-01-WM-07",Core,Y,131
*,"32Q320007335404","653306-000-01-WM-08",Core,Y,132
*,"32Q320007335404","653306-000-01-WM-09",Core,Y,133
*,"32Q320007335404","653306-000-01-WM-10",Core,Y,134
*,"32Q320007335404","653306-000-01-WM-11",Core,Y,135
*,"32Q320007335404","653306-000-01-WM-12",Core,Y,136
*,"32Q320007335404","653306-000-01-WM-13",Core,Y,137
*,"32Q320007335404","653306-000-01-WM-14",Core,Y,138
*,"32Q320007335404","653306-000-01-WM-06",Core,Y,139
*,"16Q160176005754","661301-KM-01-KT01",Core,Y,140
*,"16Q160176005754","661301-KM-02",Core,Y,141
*,"16Q160176005754","661301-KM-03",Core,Y,142
*,"16Q160176005754","661301-KM-04",Core,Y,143
*,"16Q160176005754","661301-PM-01",Core,Y,144
*,"16Q160176005754","661301-PM-02",Core,Y,145
*,"16Q160176005754","661301-PM-03",Core,Y,146
*,"16Q160176005754","661301-PM-04",Core,Y,147
*,"16Q160176005754","661301-PM-05",Core,Y,148
*,"16Q160176005754","661301-PM-06",Core,Y,149
*,"16Q160176005754","661301-PM-07",Core,Y,150
*,"16Q160176005754","661301-PM-08",Core,Y,151
*,"16Q160176005754","661301-PM-09",Core,Y,152
*,"16Q160176005754","661301-PM-10",Core,Y,153
*,"16Q160176005754","661301-WM-01",Core,Y,154
*,"16Q160176005754","661301-WM-02",Core,Y,155
*,"16Q160176005754","661301-WM-03",Core,Y,156
*,"16Q160176005754","661301-WM-04",Core,Y,157
*,"16Q160176005754","661301-WM-05",Core,Y,158
*,"16Q160176005754","661301-WM-06",Core,Y,159
*,"16Q160176005754","661301-WM-07",Core,Y,160
*,"16Q160176005754","661301-WM-08",Core,Y,161
*,"16Q160176005754","661301-WM-09",Core,Y,162
*,"16Q118092","661302-000-00-00-KM-01",Core,Y,163
*,"16Q118092","661302-000-00-00-KM-02",Core,Y,164
*,"16Q118092","661302-000-00-00-KM-03",Core,Y,165
*,"16Q118092","661302-000-00-00-PM-01",Core,Y,166
*,"16Q118092","661302-000-00-00-PM-02",Core,Y,167
*,"16Q118092","661302-000-00-00-PM-03",Core,Y,168
*,"16Q118092","661302-000-00-00-PM-04",Core,Y,169
