"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZModuleType","ZZMigrateValues"
*,1,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:1;ZZQCTOModule:ZZQCTOModule_ID:3;ref:ZZLkpModuleType:ZZModuleType:1
*,2,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:2;ZZQCTOModule:ZZQCTOModule_ID:3;ref:ZZLkpModuleType:ZZModuleType:1
*,3,N,Elective,ZZQCTOLearnership:ZZQCTOLearnership_ID:1;ZZQCTOModule:ZZQCTOModule_ID:4;ref:ZZLkpModuleType:ZZModuleType:2
*,4,Y,Elective,ZZQCTOLearnership:ZZQCTOLearnership_ID:2;ZZQCTOModule:ZZQCTOModule_ID:4;ref:ZZLkpModuleType:ZZModuleType:2
*,5,Y,Elective,ZZQCTOLearnership:ZZQCTOLearnership_ID:1;ZZQCTOModule:ZZQCTOModule_ID:4;ref:ZZLkpModuleType:ZZModuleType:2
*,6,N,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:1;ZZQCTOModule:ZZQCTOModule_ID:1;ref:ZZLkpModuleType:ZZModuleType:1
*,7,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:3;ZZQCTOModule:ZZQCTOModule_ID:3;ref:ZZLkpModuleType:ZZModuleType:1
*,8,N,Elective,ZZQCTOLearnership:ZZQCTOLearnership_ID:3;ZZQCTOModule:ZZQCTOModule_ID:4;ref:ZZLkpModuleType:ZZModuleType:2
*,9,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:3;ZZQCTOModule:ZZQCTOModule_ID:4;ref:ZZLkpModuleType:ZZModuleType:1
*,10,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:4;ZZQCTOModule:ZZQCTOModule_ID:3;ref:ZZLkpModuleType:ZZModuleType:1
*,11,Y,Elective,ZZQCTOLearnership:ZZQCTOLearnership_ID:4;ZZQCTOModule:ZZQCTOModule_ID:4;ref:ZZLkpModuleType:ZZModuleType:2
*,12,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:5;ZZQCTOModule:ZZQCTOModule_ID:3;ref:ZZLkpModuleType:ZZModuleType:1
*,13,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:6;ZZQCTOModule:ZZQCTOModule_ID:6;ref:ZZLkpModuleType:ZZModuleType:1
*,14,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:6;ZZQCTOModule:ZZQCTOModule_ID:7;ref:ZZLkpModuleType:ZZModuleType:1
*,15,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:6;ZZQCTOModule:ZZQCTOModule_ID:8;ref:ZZLkpModuleType:ZZModuleType:1
*,16,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:6;ZZQCTOModule:ZZQCTOModule_ID:9;ref:ZZLkpModuleType:ZZModuleType:1
*,17,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:6;ZZQCTOModule:ZZQCTOModule_ID:10;ref:ZZLkpModuleType:ZZModuleType:1
*,18,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:6;ZZQCTOModule:ZZQCTOModule_ID:11;ref:ZZLkpModuleType:ZZModuleType:1
*,19,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:6;ZZQCTOModule:ZZQCTOModule_ID:12;ref:ZZLkpModuleType:ZZModuleType:1
*,20,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:6;ZZQCTOModule:ZZQCTOModule_ID:13;ref:ZZLkpModuleType:ZZModuleType:1
*,21,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:6;ZZQCTOModule:ZZQCTOModule_ID:14;ref:ZZLkpModuleType:ZZModuleType:1
*,22,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:6;ZZQCTOModule:ZZQCTOModule_ID:15;ref:ZZLkpModuleType:ZZModuleType:1
*,23,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:6;ZZQCTOModule:ZZQCTOModule_ID:16;ref:ZZLkpModuleType:ZZModuleType:1
*,24,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:6;ZZQCTOModule:ZZQCTOModule_ID:17;ref:ZZLkpModuleType:ZZModuleType:1
*,25,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:6;ZZQCTOModule:ZZQCTOModule_ID:18;ref:ZZLkpModuleType:ZZModuleType:1
*,26,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:6;ZZQCTOModule:ZZQCTOModule_ID:19;ref:ZZLkpModuleType:ZZModuleType:1
*,27,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:6;ZZQCTOModule:ZZQCTOModule_ID:20;ref:ZZLkpModuleType:ZZModuleType:1
*,28,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:6;ZZQCTOModule:ZZQCTOModule_ID:21;ref:ZZLkpModuleType:ZZModuleType:1
*,29,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:7;ZZQCTOModule:ZZQCTOModule_ID:6;ref:ZZLkpModuleType:ZZModuleType:1
