"AD_Org_ID[Name]","ZZModuleCode","ZZModuleTitle","ZZQualityAssuranceBody","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZNqfLevel","ZZLearningType","ZZModuleType","IsActive","ZZMigrationCode/K","ZZMigrateValues"
*,QModule1,QCTO module1,"629",20,2023-12-13 00:00:00.000,2025-12-13 00:00:00.000,2024-12-13 00:00:00.000,2026-12-13 00:00:00.000,"2",Application,Core,Y,1,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:4758
*,QModule2,QCTO module Expired,"629",10,2022-12-13 00:00:00.000,2023-12-01 00:00:00.000,2023-11-02 00:00:00.000,2023-12-30 00:00:00.000,"2",Knowledge,Elective,Y,2,
*,QMod3,Module3,"629",60,2023-12-14 00:00:00.000,2025-12-14 00:00:00.000,2026-12-14 00:00:00.000,2027-12-14 00:00:00.000,"2",Work experience,Core,Y,3,
*,QMod4,Module4,"629",60,2023-12-14 00:00:00.000,2025-12-14 00:00:00.000,2025-12-14 00:00:00.000,2026-12-14 00:00:00.000,"3",Knowledge,Elective,Y,4,
*,QCTOm1601,QCTOlive module1,"629",5,2024-01-01 00:00:00.000,2028-01-16 00:00:00.000,2027-01-16 00:00:00.000,2028-01-31 00:00:00.000,"2",Application,Core,Y,5,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:4758
*,"651302000-KM-01",Introduction to Boilermaker Trade,"629",9,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,6,
*,"651302000-KM-02","Boilermaker Tools, Equipment, Machines and Materials","629",10,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,7,
*,"651302000-KM-03",Fabrication and Pipework,"629",23,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,8,
*,"651302000-KM-04",Assembling and Joining,"629",14,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,9,
*,"651302000-KM-05",Cutting and Welding,"629",20,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,10,
*,"651302000-KM-06",Boilermaker’s Drawings,"629",9,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Knowledge,Core,Y,11,
*,"651302000-PM-01",Visualise structures and components and develop templates according to set tolerances and / or standards,"629",18,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,12,
*,"651302000-PM-02","Maintain and use tools, equipment and machinery whilst applying safety measures","629",15,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,13,
*,"651302000-PM-03","Weld and gas cut components required for fabrication of a specific task such as metal pipes, construction and fabricated plate work and conduct visual and mechanical inspections for compliance with legal requirements","629",28,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,14,
*,"651302000-PM-04",Manipulate and fabricate profiles and metal sections accurately using heating and cold bending processes whilst applying safety measures,"629",41,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,15,
*,"651302000-PM-05","Erect, assemble and repair metal structures accurately whilst applying safety measures","629",28,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,16,
*,"651302000-WM-01",Pattern and template development processes,"629",30,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,17,
*,"651302000-WM-02","Tools, equipment and machinery maintenance and operation processes","629",30,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,18,
*,"651302000-WM-03",Workshop or on-site cutting and welding processes,"629",43,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,19,
*,"651302000-WM-04","Fabrication, assembling and repairing of metal components and structures","629",43,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,20,
*,"651302000-WM-05",Assembling and erecting processes for structures and components,"629",34,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,21,
*,"312102-001-00-KM-01","Health, Safety, and the Environment for Mining Operations","629",12,2022-11-22 00:00:00.000,2027-11-22 00:00:00.000,2028-11-22 00:00:00.000,2031-11-22 00:00:00.000,"2",Knowledge,Core,Y,22,
*,"312102-001-00-KM-02",Mining Operations,"629",8,2022-11-22 00:00:00.000,2027-11-22 00:00:00.000,2028-11-22 00:00:00.000,2031-11-22 00:00:00.000,"3",Knowledge,Core,Y,23,
*,"312102-001-00-KM-03",Supervision,"629",12,2022-11-22 00:00:00.000,2027-11-22 00:00:00.000,2028-11-22 00:00:00.000,2031-11-22 00:00:00.000,"3",Knowledge,Core,Y,24,
*,"312102-001-00-KM-04",Mining Production Operations,"629",12,2022-11-22 00:00:00.000,2027-11-22 00:00:00.000,2028-11-22 00:00:00.000,2031-11-22 00:00:00.000,"3",Knowledge,Core,Y,25,
*,"312102-001-00-PM-01","Oversee, Apply, Exercise, and Ensure Safety, Health and Environmental Measures, Processes and Procedures, Mining Operations","629",16,2022-11-22 00:00:00.000,2027-11-22 00:00:00.000,2028-11-22 00:00:00.000,2031-11-22 00:00:00.000,"3",Application,Core,Y,26,
*,"312102-001-00-PM-02",Conduct Blasting Operations,"629",40,2022-11-22 00:00:00.000,2027-11-22 00:00:00.000,2028-11-22 00:00:00.000,2031-11-22 00:00:00.000,"3",Application,Core,Y,27,
