"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZModuleCode","ZZModuleTitle","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZMigrateValues"
*,1,Y,QModule1,QCTO module1,20,2023-12-13 00:00:00.000,2025-12-13 00:00:00.000,2024-12-13 00:00:00.000,2026-12-13 00:00:00.000,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:4758;ref:ZZLkpNqfLevel:ZZNqfLevel:2;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpLearningType:ZZLearningType:1;ref:ZZLkpModuleType:ZZModuleType:1
*,2,Y,QModule2,QCTO module Expired,10,2022-12-13 00:00:00.000,2023-12-01 00:00:00.000,2023-11-02 00:00:00.000,2023-12-30 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpLearningType:ZZLearningType:2;ref:ZZLkpModuleType:ZZModuleType:2
*,3,Y,QMod3,Module3,60,2023-12-14 00:00:00.000,2025-12-14 00:00:00.000,2026-12-14 00:00:00.000,2027-12-14 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpLearningType:ZZLearningType:3;ref:ZZLkpModuleType:ZZModuleType:1
*,4,Y,QMod4,Module4,60,2023-12-14 00:00:00.000,2025-12-14 00:00:00.000,2025-12-14 00:00:00.000,2026-12-14 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpLearningType:ZZLearningType:2;ref:ZZLkpModuleType:ZZModuleType:2
*,5,Y,QCTOm1601,QCTOlive module1,5,2024-01-01 00:00:00.000,2028-01-16 00:00:00.000,2027-01-16 00:00:00.000,2028-01-31 00:00:00.000,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:4758;ref:ZZLkpNqfLevel:ZZNqfLevel:2;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpLearningType:ZZLearningType:1;ref:ZZLkpModuleType:ZZModuleType:1
*,6,Y,"651302000-KM-01",Introduction to Boilermaker Trade,9,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpLearningType:ZZLearningType:2;ref:ZZLkpModuleType:ZZModuleType:1
*,7,Y,"651302000-KM-02","Boilermaker Tools, Equipment, Machines and Materials",10,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpLearningType:ZZLearningType:2;ref:ZZLkpModuleType:ZZModuleType:1
*,8,Y,"651302000-KM-03",Fabrication and Pipework,23,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpLearningType:ZZLearningType:2;ref:ZZLkpModuleType:ZZModuleType:1
*,9,Y,"651302000-KM-04",Assembling and Joining,14,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpLearningType:ZZLearningType:2;ref:ZZLkpModuleType:ZZModuleType:1
*,10,Y,"651302000-KM-05",Cutting and Welding,20,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpLearningType:ZZLearningType:2;ref:ZZLkpModuleType:ZZModuleType:1
*,11,Y,"651302000-KM-06",Boilermaker’s Drawings,9,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpLearningType:ZZLearningType:2;ref:ZZLkpModuleType:ZZModuleType:1
*,12,Y,"651302000-PM-01",Visualise structures and components and develop templates according to set tolerances and / or standards,18,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpLearningType:ZZLearningType:1;ref:ZZLkpModuleType:ZZModuleType:1
*,13,Y,"651302000-PM-02","Maintain and use tools, equipment and machinery whilst applying safety measures",15,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpLearningType:ZZLearningType:1;ref:ZZLkpModuleType:ZZModuleType:1
