"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZSaqaQualificationCode","ZZSaqaQualificationTitle","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZNewRegistrationStartDate","ZZNewRegistrationEndDate","ZZNewLastEnrolmentDate","ZZNewLastAchievementDate","ZZIsReplacement","ZZIsReregistered","ZZMinimumElectiveCredits","ZZArtisanQualification","ZZMigrateValues"
*,1,Y,"20231214",QCTO Qual1,120,2023-12-01 00:00:00.000,2027-12-14 00:00:00.000,2029-11-30 00:00:00.000,2032-11-29 00:00:00.000,,,,,N,N,20,N,ref:ZZLkpNqfLevel:ZZNqfLevel:5;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,2,Y,"20231213",Artisan Qualufication,120,2023-12-01 00:00:00.000,2027-12-14 00:00:00.000,2029-11-30 00:00:00.000,2032-11-29 00:00:00.000,,,,,N,N,20,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:1;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:3243
*,3,Y,"20231212",Part Qualification,120,2023-12-01 00:00:00.000,2026-12-14 00:00:00.000,2029-11-30 00:00:00.000,2032-11-29 00:00:00.000,,,,,N,N,20,N,ref:ZZLkpNqfLevel:ZZNqfLevel:1;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:2;ZZQualification:ZZQualification_ID:1
*,4,Y,"20240116",QCTO Qual16,120,2024-01-01 00:00:00.000,2029-01-16 00:00:00.000,2029-12-31 00:00:00.000,2032-12-30 00:00:00.000,,,,,N,N,20,N,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,5,N,"93626",Occupational Certificate: Boilermaker,395,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,,,,,N,N,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,6,Y,"120057",Intermediate Occupational Certificate: Miner,180,2022-11-22 00:00:00.000,2027-11-22 00:00:00.000,2028-11-22 00:00:00.000,2031-11-22 00:00:00.000,,,,,N,N,40,N,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,7,Y,"119223",National Occupational Certificate: Mine Shift Overseer,196,2022-06-21 00:00:00.000,2027-06-21 00:00:00.000,2028-06-21 00:00:00.000,2031-06-21 00:00:00.000,,,,,N,N,40,N,ref:ZZLkpNqfLevel:ZZNqfLevel:1;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,8,Y,"93626",Occupational Certificate: Boilermaker,395,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,,,,,N,N,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,9,Y,"91761",Occupational Certificate: Electrician,360,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,,,,,N,N,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,10,Y,"97585",Occupational Certificate: Millwright,697,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,,,,,N,N,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,11,Y,"117237",Occupational Certificate: Diesel Mechanic,544,2020-07-30 00:00:00.000,2027-07-30 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,,,,,N,N,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,12,Y,"94039",Occupational Certificate: Goldsmith,575,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,,,,,N,N,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,13,Y,"118092",Occupational Certificate: Diamond and Gemstone Setter,540,2021-03-25 00:00:00.000,2027-03-25 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,,,,,N,N,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,14,Y,"94701",Occupational Certificate: Instrument Mechanician,469,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,,,,,N,N,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:5;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,15,Y,"94021",Occupational Certificate: Mechanical Fitter,410,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,,,,,N,N,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,16,Y,"94020",Occupational Certificate: Fitter and Turner,548,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,,,,,N,N,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:1;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
