"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZSkillsProgrammeCode","ZZSkillsProgrammeTitle","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZMinimumElectiveCredits","ZZIsOHS","ZZMigrateValues"
*,1,Y,MQA/SP/2023/12,QCTO Skills programme test,30,2023-12-01 00:00:00.000,2026-12-14 00:00:00.000,2026-12-01 00:00:00.000,10,N,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,2,Y,MQA/SP/2023/20,QCTO skills2,50,2023-12-01 00:00:00.000,2025-12-19 00:00:00.000,2025-12-31 00:00:00.000,10,N,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,3,Y,MQA/SP/2024/16,QCTO Skills programme,50,2024-01-16 00:00:00.000,2027-01-16 00:00:00.000,2026-01-16 00:00:00.000,10,N,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,4,Y,SP-xxx_MQA Test,Mine Safe Declarer: Underground Hardrock operations,8,2023-11-14 00:00:00.000,2028-11-14 00:00:00.000,2029-11-14 00:00:00.000,0,N,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZQualification:ZZQualification_ID:30;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:2
*,5,Y,SP-230371,Mines Rescue Services Worker,24,2023-03-25 00:00:00.000,2028-03-25 00:00:00.000,2029-03-25 00:00:00.000,0,N,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,6,Y,MQA/SP/2025/04,Test QCTOskills,120,2025-01-01 00:00:00.000,2029-12-31 00:00:00.000,2030-03-31 00:00:00.000,10,N,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:3
*,7,Y,SP-230341,Mining Firefighter-Underground Hardrock Operations,24,2023-03-25 00:00:00.000,2028-03-25 00:00:00.000,2029-03-25 00:00:00.000,8,N,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,8,Y,SP-230342,Mining Firefighter-Underground Coal Operations,24,2023-03-25 00:00:00.000,2028-03-25 00:00:00.000,2028-03-25 00:00:00.000,8,N,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,9,Y,SP-221120,Underground Coal Blasting Assistant,20,2022-11-25 00:00:00.000,2027-11-25 00:00:00.000,2028-11-25 00:00:00.000,20,N,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZQualification:ZZQualification_ID:30;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:2
*,10,Y,SP-230343,Mining Firefighter-Surface Mining Operations,24,2023-03-25 00:00:00.000,2028-03-25 00:00:00.000,2029-03-25 00:00:00.000,8,N,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,11,Y,SP-221122,Underground Hardrock Safe Declarer,12,2022-11-25 00:00:00.000,2027-11-25 00:00:00.000,2028-11-25 00:00:00.000,8,N,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZQualification:ZZQualification_ID:30;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:2
*,12,Y,SP-221125,Underground Hardrock Support Installer,20,2022-11-25 00:00:00.000,2027-11-25 00:00:00.000,2028-11-25 00:00:00.000,20,N,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZQualification:ZZQualification_ID:30;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:2
