"AD_Org_ID[Name]","ZZQctoSkillsProgramme_ID[ZZSkillsProgrammeCode]","ZZQCTOModule_ID[ZZModuleCode]","ZZModuleType","IsActive","ZZMigrationCode/K"
*,MQA/SP/2023/12,QModule1,Core,Y,1
*,MQA/SP/2023/12,QModule2,Elective,Y,2
*,MQA/SP/2023/20,QMod3,Core,Y,3
*,MQA/SP/2023/20,QMod4,Core,N,4
*,MQA/SP/2023/20,QModule1,Core,N,5
*,MQA/SP/2023/20,QModule2,Core,N,6
*,MQA/SP/2023/20,QMod4,Elective,N,7
*,MQA/SP/2023/20,QModule1,Elective,N,8
*,MQA/SP/2023/20,QModule2,Elective,Y,9
*,MQA/SP/2024/16,QMod4,Core,Y,10
*,SP-xxx_MQA Test,"312102-000-00-KM-01",Core,Y,11
*,SP-xxx_MQA Test,"312102-000-00-KM-02",Core,Y,12
*,SP-xxx_MQA Test,"312102-000-00-KM-03",Core,Y,13
*,SP-xxx_MQA Test,"312102-000-00-KM-04",Core,Y,14
*,SP-xxx_MQA Test,"312102-000-00-KM-05",Core,Y,15
*,SP-xxx_MQA Test,"312102-000-00-PM-01",Core,Y,16
*,SP-xxx_MQA Test,"312102-000-00-PM-02",Core,Y,17
*,SP-xxx_MQA Test,"312102-000-00-PM-03",Core,Y,18
*,SP-xxx_MQA Test,"312102-000-00-WM-01",Core,Y,19
*,SP-xxx_MQA Test,"312102-000-00-WM-02",Core,Y,20
*,SP-xxx_MQA Test,"831101-006-00-00-PM-01",Core,Y,21
*,SP-xxx_MQA Test,"831101-006-00-KM-01",Core,Y,22
*,SP-230371,"900217-000-00- KM-01",Core,Y,23
*,SP-230371,"900217-000-00- PM-01",Core,Y,24
*,SP-230371,"900217-000-00- PM-02",Core,Y,25
*,MQA/SP/2025/04,QMod3,Core,Y,26
*,MQA/SP/2025/04,QMod4,Elective,Y,27
*,MQA/SP/2025/04,QModule1,Core,Y,28
*,MQA/SP/2025/04,QModule2,Elective,Y,29
*,SP-230341,"900187-000-00-KM-01",Core,Y,30
*,SP-230341,"900173-000-00-KM-01",Core,Y,31
*,SP-230341,"900187-000-00-PM-01",Core,Y,32
*,SP-230341,"900187-000-00-PM-02",Elective,Y,33
*,SP-230342,"900187-000-00-KM-01",Core,Y,34
*,SP-230342,"900173-000-00-KM-01",Core,Y,35
*,SP-230342,"900187-000-00-PM-01",Core,Y,36
*,SP-230342,"900188-000-00-PM-03",Elective,Y,37
*,SP-221120,"312102-000-00-KM-01",Core,Y,38
*,SP-221120,"312102-000-00-KM-02",Core,Y,39
*,SP-221120,"312102-000-00-KM-03",Core,Y,40
*,SP-221120,"312102-000-00-KM-04",Core,Y,41
*,SP-221120,"312102-000-00-KM-05",Core,Y,42
*,SP-221120,"312102-000-00-PM-01",Core,Y,43
*,SP-221120,"312102-000-00-PM-02",Core,Y,44
*,SP-221120,"312102-000-00-PM-03",Core,Y,45
*,SP-221120,"312102-000-00-WM-01",Core,Y,46
*,SP-221120,"312102-000-00-WM-02",Core,Y,47
*,SP-230343,"900187-000-00-KM-01",Core,Y,48
*,SP-230343,"900173-000-00-KM-01",Core,Y,49
*,SP-230343,"900187-000-00-PM-01",Core,Y,50
*,SP-230343,"900189-000-00-PM-04",Elective,Y,51
*,SP-221122,"312102-000-00-KM-01",Core,Y,52
*,SP-221122,"312102-000-00-KM-02",Core,Y,53
*,SP-221122,"312102-000-00-KM-03",Core,Y,54
*,SP-221122,"312102-000-00-KM-04",Core,Y,55
*,SP-221122,"312102-000-00-KM-05",Core,Y,56
*,SP-221122,"312102-000-00-PM-01",Core,Y,57
*,SP-221122,"312102-000-00-PM-02",Core,Y,58
*,SP-221122,"312102-000-00-PM-03",Core,Y,59
*,SP-221122,"312102-000-00-WM-01",Core,Y,60
*,SP-221122,"312102-000-00-WM-02",Core,Y,61
*,SP-221125,"312102-000-00-KM-01",Core,Y,62
*,SP-221125,"312102-000-00-KM-02",Core,Y,63
*,SP-221125,"312102-000-00-KM-03",Core,Y,64
*,SP-221125,"312102-000-00-KM-04",Core,Y,65
*,SP-221125,"312102-000-00-KM-05",Core,Y,66
*,SP-221125,"312102-000-00-PM-01",Core,Y,67
*,SP-221125,"312102-000-00-PM-02",Core,Y,68
*,SP-221125,"312102-000-00-PM-03",Core,Y,69
*,SP-221125,"312102-000-00-WM-01",Core,Y,70
*,SP-221125,"312102-000-00-WM-02",Core,Y,71
