"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZMigrateValues"
*,1,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:1;ZZQCTOModule:ZZQCTOModule_ID:1;ref:ZZLkpModuleType:ZZModuleType:1
*,2,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:1;ZZQCTOModule:ZZQCTOModule_ID:2;ref:ZZLkpModuleType:ZZModuleType:2
*,3,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:2;ZZQCTOModule:ZZQCTOModule_ID:3;ref:ZZLkpModuleType:ZZModuleType:1
*,4,N,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:2;ZZQCTOModule:ZZQCTOModule_ID:4;ref:ZZLkpModuleType:ZZModuleType:1
*,5,N,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:2;ZZQCTOModule:ZZQCTOModule_ID:1;ref:ZZLkpModuleType:ZZModuleType:1
*,6,N,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:2;ZZQCTOModule:ZZQCTOModule_ID:2;ref:ZZLkpModuleType:ZZModuleType:1
*,7,N,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:2;ZZQCTOModule:ZZQCTOModule_ID:4;ref:ZZLkpModuleType:ZZModuleType:2
*,8,N,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:2;ZZQCTOModule:ZZQCTOModule_ID:1;ref:ZZLkpModuleType:ZZModuleType:2
*,9,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:2;ZZQCTOModule:ZZQCTOModule_ID:2;ref:ZZLkpModuleType:ZZModuleType:2
*,10,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:3;ZZQCTOModule:ZZQCTOModule_ID:4;ref:ZZLkpModuleType:ZZModuleType:1
*,11,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:4;ZZQCTOModule:ZZQCTOModule_ID:508;ref:ZZLkpModuleType:ZZModuleType:1
*,12,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:4;ZZQCTOModule:ZZQCTOModule_ID:509;ref:ZZLkpModuleType:ZZModuleType:1
*,13,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:4;ZZQCTOModule:ZZQCTOModule_ID:510;ref:ZZLkpModuleType:ZZModuleType:1
*,14,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:4;ZZQCTOModule:ZZQCTOModule_ID:511;ref:ZZLkpModuleType:ZZModuleType:1
*,15,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:4;ZZQCTOModule:ZZQCTOModule_ID:512;ref:ZZLkpModuleType:ZZModuleType:1
*,16,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:4;ZZQCTOModule:ZZQCTOModule_ID:513;ref:ZZLkpModuleType:ZZModuleType:1
*,17,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:4;ZZQCTOModule:ZZQCTOModule_ID:514;ref:ZZLkpModuleType:ZZModuleType:1
*,18,Y,ZZQCTOSkillsProgramme:ZZQCTOSkillsProgramme_ID:4;ZZQCTOModule:ZZQCTOModule_ID:515;ref:ZZLkpModuleType:ZZModuleType:1
