"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZSAQAQualificationCode","ZZSAQAQualificationTitle","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZQualificationType","ZZNewRegistrationStartDate","ZZNewRegistrationEndDate","ZZNewLastEnrolmentDate","ZZNewLastAchievementDate","ZZIsReplacement","ZZIsReregistered","ZZMinimumElectiveCredits","ZZMigrateValues"
*,1,N,"23624",National Certificate Diesel Mechanic ,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,Unit Standard Based,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ref:ZZLkpQualificationType:ZZQualificationType:1;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1105
*,2,N,"23625",National Certificate: Electrical,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,Unit Standard Based,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpQualificationType:ZZQualificationType:1;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1165
*,3,N,"23626",National Certificate Fitting and Turning ,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,Unit Standard Based,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpQualificationType:ZZQualificationType:1;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1090
*,4,N,"23627",National Certificate Fitting (Including Machining) ,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,Unit Standard Based,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpQualificationType:ZZQualificationType:1;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1102
*,5,N,"23628",National Certificate: Instrumentation Mechanician,99,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,Unit Standard Based,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpQualificationType:ZZQualificationType:1;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1174
*,6,N,"23813",National Certificate Rigger Ropesman,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,Unit Standard Based,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpQualificationType:ZZQualificationType:1;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1079
*,7,Y,"21841",National Certificate in Winding Engine Driving,127,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,1900-01-01 00:00:00.000,Unit Standard Based,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpQualificationType:ZZQualificationType:1;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1396
*,8,Y,"21844",National Certificate in Jewellery Manufacture in a Production Environment,159,2005-08-03 00:00:00.000,2008-08-23 00:00:00.000,2013-08-23 00:00:00.000,1900-01-01 00:00:00.000,Unit Standard Based,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpQualificationType:ZZQualificationType:1
*,9,Y,"21846",National Certificate in Diamond Processing Operator,120,2005-08-23 00:00:00.000,2008-08-23 00:00:00.000,2012-08-23 00:00:00.000,1900-01-01 00:00:00.000,Unit Standard Based,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ref:ZZLkpQualificationType:ZZQualificationType:1
*,10,Y,"21814",National Certificate in Engineering Maintenance and Repairing for Underground Coal Mining,148,2018-07-01 00:00:00.000,2026-06-30 00:00:00.000,2026-06-30 00:00:00.000,2029-06-30 00:00:00.000,Unit Standard Based,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpQualificationType:ZZQualificationType:1;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:49
