"AD_Org_ID[Name]","ZZSkillsProgrammeCode","ZZSkillsProgrammeTitle","ZZNqfLevel","ZZCredits","Registrationstartdate","Registrationenddate","ZZQualityAssuranceBody","ZZSkillsProgrammeType","ZZQualification_ID[ZZSaqaQualificationCode]","ZZAETLevel","ZZMinimumElectiveCredits","ZZSkillsProgrammeGrantType","ZZIsOHS","IsActive","ZZMigrationCode/K","ZZMigrateValues"
*,MQA/SP/0002/03,Skills Programme: Secondary Blasting Operations for Underground Hard Rock Tabular,,50,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,Standalone,,,4,,N,Y,1,
*,MQA/SP/0012/03,Skills Programme: Secondary Blasting Operations for Underground Hard Rock Massive ,,77,2003-12-12 00:00:00.000,2006-12-12 00:00:00.000,,Standalone,,,1,,N,Y,2,
*,MQA/SP/0013/03,Skills Programme: Basic construction materials testing,,29,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,2,,N,Y,3,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256
*,MQA/SP/0014/03,Skills Programme: Competent Person A:  To examination and declaring a workplace safe in surface mining operations (Surface Mining Operations),,13,2003-12-12 00:00:00.000,2010-03-03 00:00:00.000,,Standalone,,,0,,N,Y,4,
*,MQA/SP/0015/03,"Skills Programme: The examination,making safe and declaring safe of blasted quarries, dumps and stockpiles",,30,2003-12-12 00:00:00.000,2010-08-12 00:00:00.000,,Standalone,,,0,,N,Y,5,
*,MQA/SP/0016/04,"Skills Programme: Transportation of men, material and ore to and from an underground workplace (Onsetter)",,27,2003-10-28 00:00:00.000,2010-05-31 00:00:00.000,,Standalone,,,2,,N,Y,6,
*,MQA/SP/0022/05,Skills Programme: Dozing Operations,,128,2004-03-11 00:00:00.000,2007-03-11 00:00:00.000,,Standalone,,,46,,N,Y,7,
*,MQA/SP/0024/05,Skills Programme: Excavating Operations,,84,2004-03-11 00:00:00.000,2007-03-11 00:00:00.000,,Standalone,,,2,,N,Y,8,
*,MQA/SP/0018/05,Skills Programme: Haul and Dump Operations,,68,2004-10-23 00:00:00.000,2007-10-23 00:00:00.000,,Standalone,,,10,,N,Y,9,
*,MQA/SP/0021/05,Skills Programme: Drilling Operations,,70,2004-03-11 00:00:00.000,2007-03-11 00:00:00.000,,Standalone,,,6,,N,Y,10,
*,MQA/SP/0020/05,Skills Programme: Handling of Explosives in Quarries,,11,2004-01-08 00:00:00.000,2009-11-17 00:00:00.000,,Standalone,,,0,,N,Y,11,
*,MQA/SP/0019/05,Skills Programme: The Management of Explosives Magazines on Mines and Quarries,,14,2003-10-03 00:00:00.000,2006-10-03 00:00:00.000,,Standalone,,,4,,N,Y,12,
*,MQA/SP/0023/04,Skillls Programme: Manufacture Indiginous Jewellery,,24,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,N,Y,13,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1272
*,MQA/SP/0003/04,Skills Programme: Competent Person A: To examine and declare a working place safe (Underground Hard Rock Narrow Tabular) V2,,25,2007-01-01 00:00:00.000,2024-07-30 23:59:59.000,,Standalone,,,0,,N,Y,14,
*,MQA/SP/0001/03,"Skills Programme: Competent Person B: The Installation,Maintanance and Removal Support 1.7 (Underground Hard Rock Operations)-Underground Hard Rock  Narrow Tabular (Massive)",,24,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,Standalone,,,8,,N,Y,15,
*,MQA/SP/0004/03,Skills Programme: Competent Person A: To examine and declare a working place safe (Underground Hard Rock Massive) V2,,22,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,Standalone,,,3,,N,Y,16,
*,MQA/SP/0027/05,Skills Programme: Scrubbing and Screening (Version 1),,17,2005-06-22 00:00:00.000,2008-06-22 00:00:00.000,,Standalone,,,2,,N,Y,17,
*,MQA/SP/0028/05,Skills Programme: Dense Medium Separation (Version 1),,14,2005-06-22 00:00:00.000,2008-06-22 00:00:00.000,,Standalone,,,2,,N,Y,18,
*,MQA/SP/0029/05,Skills Programme: Ore Reception,,8,2005-06-22 00:00:00.000,2008-06-22 00:00:00.000,,Standalone,,,1,,N,Y,19,
*,MQA/SP/0030/05,Skills Programme: Crushing (Version 1),,12,2005-06-22 00:00:00.000,2009-07-22 00:00:00.000,,Standalone,,,4,,N,Y,20,
*,MQA/SP/0025/05,Skills Programme: Determine the Physical Properties of a Coal Sample in a Laboratory,,29,2005-09-02 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,N,Y,21,
*,MQA/SP/0031/05,SkillsProgramme: Primary Sample Preparation in an analytical laboratory (Analytical Services),,23,2005-09-02 00:00:00.000,2008-09-02 00:00:00.000,,Standalone,,,0,,N,Y,22,
*,MQA/SP/0035/05,Skills Programme: Secondary Sample Preparation in and Analytical Laboratory (Analytical Services),,18,2005-09-02 00:00:00.000,2008-09-02 00:00:00.000,,Standalone,,,0,,N,Y,23,
*,MQA/SP/0032/05,Skills Programme: The Separation of Precious Metals by Means of the Fire Assay Technique ,,34,2005-09-02 00:00:00.000,2008-09-02 00:00:00.000,,Standalone,,,2,,N,Y,24,
