"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZUnitStandardType","ZZMigrateValues"
*,1,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:426
*,2,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:974
*,3,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:567
*,4,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:573
*,5,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:633
*,6,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:543
*,7,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:546
*,8,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:2227
*,9,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:2232
*,10,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:637
*,11,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:28
*,12,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:557
*,13,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:569
*,14,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:29
*,15,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:967
*,16,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:968
*,17,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:576
*,18,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:444
*,19,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:746
*,20,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:784
*,21,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:426
*,22,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:974
*,23,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:567
*,24,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:573
*,25,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:633
*,26,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:543
*,27,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:546
*,28,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:628
*,29,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:703
*,30,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:706
*,31,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:2227
*,32,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:637
*,33,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:28
