"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZMigrateValues"
*,1,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:426;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,2,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:974;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,3,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:567;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,4,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:573;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,5,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:633;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,6,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:543;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,7,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:546;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,8,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:2227;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,9,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:2232;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,10,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:637;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,11,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:28;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,12,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:557;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,13,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:569;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,14,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:29;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,15,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:967;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,16,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:968;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,17,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:576;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,18,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:444;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,19,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:746;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,20,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:784;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,21,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:426;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
