"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZCode","ZZTitle","ZZCredits","RegistrationStartDate","RegistrationEndDate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZMigrateValues"
*,1,N,"03",NATIONAL CERTIFICATE GENERAL SECURITY PRACTICES,0,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,2007-01-01 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:3
*,2,N,"21812",National certificate in Mining Operations: Underground Coal ,120,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:49;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57
*,3,N,"21814",National Certificate in Engineering Maintenance and Repairing for Underground Coal Mining,148,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:49;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57
*,4,N,"21815",National Certificate in Engineering Maintenance for Underground Hard Rock (Metalliferous) ,120,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:49;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57
*,5,N,"21839",National Certificate In Mining Operations Underground Hardrock Narrow Tabular (Version1),159,2002-06-12 00:00:00.000,2005-06-12 00:00:00.000,2006-06-12 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57
*,6,N,"21841",National Certificate in Winding Engine Driving,127,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1396;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57
*,7,N,"21844",National Certificate in Jewellery Manufacture in a Production Environment,159,2005-08-03 00:00:00.000,2008-08-23 00:00:00.000,2013-08-23 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57
*,8,N,"21846",National Certificate in Diamond Processing Operator,120,2005-08-23 00:00:00.000,2008-08-23 00:00:00.000,2012-08-23 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:2
*,9,Y,"23624",National Certificate Diesel Mechanic ,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1105;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57
*,10,Y,"23625",National Certificate: Electrical,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1165;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57
*,11,Y,"23626",National Certificate Fitting and Turning ,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1090;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57
*,12,Y,"23627",National Certificate Fitting (Including Machining) ,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1102;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57
*,13,Y,"23628",National Certificate: Instrumentation Mechanician,99,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1174;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57
*,14,Y,"23630",National Certificate Plater/Boilermaker ,0,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1074;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57
*,15,Y,"23631",National Certificate Plater/Welder ,0,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1070;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57
*,16,Y,"23633",National Certificate: Millwright,0,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1167;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57
*,17,N,"23656",Further Education and Training Certificate in Management,140,2006-03-14 00:00:00.000,2009-03-14 00:00:00.000,2010-03-14 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4
*,18,Y,"23813",National Certificate Rigger Ropesman,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1079;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57
