"AD_Reference_ID[Name]/K","value","name","Description/K","EntityType","IsActive"
ZZLkpAccreditationType,Both,Both,3,MQA Learner,Y
ZZLkpAccreditationType,Extension of Scope,Extension of Scope,4,MQA Learner,Y
ZZLkpAccreditationType,Learnership,Learnership,1,MQA Learner,Y
ZZLkpAccreditationType,Qualification,Qualification,5,MQA Learner,Y
ZZLkpAccreditationType,Skills Programme,Skills Programme,2,MQA Learner,Y
ZZLkpAetLevel,ABET Level 0,ABET Level 0,1,MQA Learner,Y
ZZLkpAetLevel,ABET Level 1,ABET Level 1,2,MQA Learner,Y
ZZLkpAetLevel,ABET Level 2,ABET Level 2,3,MQA Learner,Y
ZZLkpAetLevel,ABET Level 3,ABET Level 3,4,MQA Learner,Y
ZZLkpAetLevel,ABET Level 4,ABET Level 4,5,MQA Learner,Y
ZZLkpArtisanProject,Artisan :Apprenticeship section 13,Artisan :Apprenticeship section 13,1,MQA Learner,Y
ZZLkpArtisanProject,Artisan :Apprenticeship section 28,Artisan :Apprenticeship section 28,2,MQA Learner,Y
ZZLkpArtisanType,Apprenticeship,Apprenticeship,1,MQA Learner,Y
ZZLkpArtisanType,Learnership Apprenticeship,Learnership Apprenticeship,2,MQA Learner,Y
ZZLkpEnrolmentStatusReason,"10",Financial reasons,7,MQA Learner,Y
ZZLkpEnrolmentStatusReason,"15",Medical reasons,8,MQA Learner,Y
ZZLkpEnrolmentStatusReason,"16",None given,9,MQA Learner,Y
ZZLkpEnrolmentStatusReason,"17",Other,10,MQA Learner,Y
ZZLkpEnrolmentStatusReason,"27",Social reasons,11,MQA Learner,Y
ZZLkpEnrolmentStatusReason,"28",Study permit not approved,12,MQA Learner,Y
ZZLkpEnrolmentStatusReason,"29",Suspension,13,MQA Learner,Y
ZZLkpEnrolmentStatusReason,"3",Changed priorities,1,MQA Learner,Y
ZZLkpEnrolmentStatusReason,"4",Deceased,2,MQA Learner,Y
ZZLkpEnrolmentStatusReason,"5",Dismissal,3,MQA Learner,Y
ZZLkpEnrolmentStatusReason,"7",Employment,4,MQA Learner,Y
ZZLkpEnrolmentStatusReason,"8",Exam enrolment rejected,5,MQA Learner,Y
ZZLkpEnrolmentStatusReason,"9",Exchange student,6,MQA Learner,Y
ZZLkpEnrolmentStatusReason,Absconded,Absconded,17,MQA Learner,Y
ZZLkpEnrolmentStatusReason,By Committee,By Committee,16,MQA Learner,Y
ZZLkpEnrolmentStatusReason,Met Requirements,Met Requirements,14,MQA Learner,Y
ZZLkpEnrolmentStatusReason,Withdrawal,Withdrawal,15,MQA Learner,Y
ZZLkpLearnerArtisanType,ARPL,ARPL,2,MQA Learner,Y
ZZLkpLearnerArtisanType,Artisan,Artisan,1,MQA Learner,Y
ZZLkpLearnerLearnershipType,Beneficiation Learnership,Beneficiation Learnership,3,MQA Learner,Y
ZZLkpLearnerLearnershipType,Learnership,Learnership,1,MQA Learner,Y
ZZLkpLearnerLearnershipType,Non MQA Learnership,Non MQA Learnership,4,MQA Learner,Y
ZZLkpLearnerLearnershipType,RPL,RPL,2,MQA Learner,Y
ZZLkpLearnerQCTOLearnershipType,QCTO Learnership - 1,QCTO Learnership - 1,1,MQA Learner,N
ZZLkpLearnerQCTOLearnershipType,Beneficiation Learnership,Beneficiation Learnership,2,MQA Learner,Y
ZZLkpLearnerQCTOLearnershipType,Learnership,Learnership,3,MQA Learner,Y
ZZLkpLearnerQCTOLearnershipType,RPL,RPL,4,MQA Learner,Y
ZZLkpLearnershipType,Non MQA learnership,Non MQA learnership,4,MQA Learner,Y
ZZLkpLearnershipType,Qualification Compulsory Electives,Qualification Compulsory Electives,2,MQA Learner,Y
ZZLkpLearnershipType,Qualification Electives,Qualification Electives,1,MQA Learner,Y
ZZLkpLearnershipType,Standard Qualification,Standard Qualification,3,MQA Learner,Y
ZZLkpLearningType,Application,Application,1,MQA Learner,Y
ZZLkpLearningType,Knowledge,Knowledge,2,MQA Learner,Y
ZZLkpLearningType,Work experience,Work experience,3,MQA Learner,Y
ZZLkpModuleType,Core,Core,1,MQA Learner,Y
ZZLkpModuleType,Elective,Elective,2,MQA Learner,Y
ZZLkpNqfLevel,Below Level 01,Below Level 01,11,MQA Learner,Y
ZZLkpNqfLevel,Level 01,Level 01,1,MQA Learner,Y
ZZLkpNqfLevel,Level 02,Level 02,2,MQA Learner,Y
ZZLkpNqfLevel,Level 03,Level 03,3,MQA Learner,Y
ZZLkpNqfLevel,Level 04,Level 04,4,MQA Learner,Y
ZZLkpNqfLevel,Level 05,Level 05,5,MQA Learner,Y
ZZLkpNqfLevel,Level 06,Level 06,6,MQA Learner,Y
ZZLkpNqfLevel,Level 07,Level 07,7,MQA Learner,Y
ZZLkpNqfLevel,Level 08,Level 08,8,MQA Learner,Y
ZZLkpNqfLevel,Level 09,Level 09,9,MQA Learner,Y
ZZLkpNqfLevel,Level 10,Level 10,10,MQA Learner,Y
ZZLkpNqfLevel,Level 11,Level 11,12,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"0-Approved",Approved,11,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"0-Pending",Pending,13,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"0-Reaccredited",Reaccredited,14,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"1-Non MQA Provider",Non MQA Provider,30,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"1-Unknown",Unknown,24,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"2-Letter of intent received",Letter of intent received,28,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"3-Applied",Applied,18,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"501-Programme Approval Extension",Programme Approval Extension,29,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"501-Registered: Programme Approval",Registered: Programme Approval,8,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"503-Deregistered",Deregistered,12,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"505-Reregistered",Reregistered,15,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"506-Proposed",Proposed,6,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"507-Appointed: Other SETA L/Ship",Appointed: Other SETA L/Ship,25,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"508-Reappointed",Reappointed,27,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"509-De-appointed",De-appointed,26,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"510-Accreditation Extension",Accreditation Extension,19,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"510-Accredited",Accredited,1,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"510-Full Accreditation",Full Accreditation,20,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"511-Re-Accredited",Re-Accredited,3,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"512-De-Accredited",De-Accredited,7,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"513-Accredited – Provisional",Accredited – Provisional,2,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"514-Withdrawn",Withdrawn,9,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"515-Unsuccessful",Unsuccessful,10,MQA Learner,Y
ZZLkpProviderAccreditationStatus,"700-Whole Firm Accreditation",Whole Firm Accreditation,16,MQA Learner,Y
ZZLkpProviderAccreditationStatus,-Accredited by Another ETQA,Accredited by Another ETQA,17,MQA Learner,Y
ZZLkpProviderAccreditationStatus,-Not Submitted,Not Submitted,21,MQA Learner,Y
ZZLkpProviderAccreditationStatus,-Provisional Accreditation,Provisional Accreditation,22,MQA Learner,Y
ZZLkpProviderAccreditationStatus,-Rejected,Rejected,23,MQA Learner,Y
ZZLkpProviderApplication,"1",Assessment Site,1,MQA Learner,Y
ZZLkpProviderApplication,"2",Delivery Site,2,MQA Learner,Y
ZZLkpProviderApplication,"3",Delivery and Assessment,3,MQA Learner,Y
ZZLkpProviderClass,"1 - 9",Unknown - 9,9,MQA Learner,N
ZZLkpProviderClass,"",Financial,8,MQA Learner,Y
ZZLkpProviderClass,"1",Unknown,6,MQA Learner,Y
ZZLkpProviderClass,"3",Foreign,1,MQA Learner,Y
ZZLkpProviderClass,"4",Public,2,MQA Learner,Y
ZZLkpProviderClass,"5",Private,3,MQA Learner,Y
ZZLkpProviderClass,"6",Interim,7,MQA Learner,Y
ZZLkpProviderClass,"7",NGO/CBO,4,MQA Learner,Y
ZZLkpProviderClass,"8",Mixed: Public and Private,5,MQA Learner,Y
