AD_Org_ID[Name],IsActive,C_Calendar_ID[Name],ZZMigrationCode,FiscalYear/K,Description
*,Y,MQA Calendar,1,2000,2000-2001
*,Y,MQA Calendar,2,2001,2001-2002
*,Y,MQA Calendar,3,2002,2002-2003
*,Y,MQA Calendar,4,2003,2003-2004
*,Y,MQA Calendar,5,2004,2004-2005
*,Y,MQA Calendar,6,2005,2005-2006
*,Y,MQA Calendar,7,2006,2006-2007
*,Y,MQA Calendar,8,2007,2007-2008
*,Y,MQA Calendar,9,2008,2008-2009
*,Y,MQA Calendar,10,2009,2009-2010
*,Y,MQA Calendar,11,2010,2010-2011
*,Y,MQA Calendar,12,2011,2011-2012
*,Y,MQA Calendar,13,2012,2012-2013
*,Y,MQA Calendar,14,2013,2013-2014
*,Y,MQA Calendar,15,2014,2014-2015
*,Y,MQA Calendar,16,2015,2015-2016
*,Y,MQA Calendar,17,2016,2016-2017
*,Y,MQA Calendar,18,2017,2017-2018
*,Y,MQA Calendar,19,2018,2018-2019
*,Y,MQA Calendar,20,2019,2019-2020
*,Y,MQA Calendar,21,2020,2020-2021
*,Y,MQA Calendar,22,2021,2021-2022
*,Y,MQA Calendar,23,2022,2022-2023
*,Y,MQA Calendar,24,2023,2023-2024
*,Y,MQA Calendar,25,2024,2024-2025
*,Y,MQA Calendar,26,2025,2025-2026
