"Name/K","Description","EntityType","ValidationType","ShowInactive"
ZZLkpNqfLevel,ZZLkpNqfLevel,MQA Learner,L,Y
ZZLkpLearnershipType,ZZLkpLearnershipType,MQA Learner,L,Y
ZZLkpAetLevel,ZZLkpAetLevel,MQA Learner,L,Y
ZZLkpQualityAssuranceBody,ZZLkpQualityAssuranceBody,MQA Learner,L,Y
ZZLkpQctoQualificationType,ZZLkpQctoQualificationType,MQA Learner,L,Y
ZZLkpQctoLearnershipType,ZZLkpQctoLearnershipType,MQA Learner,L,Y
ZZLkpSkillsProgrammeType,ZZLkpSkillsProgrammeType,MQA Learner,L,Y
ZZLkpLearningType,ZZLkpLearningType,MQA Learner,L,Y
ZZLkpModuleType,ZZLkpModuleType,MQA Learner,L,Y
ZZLkpSkillsProgrammeGrantType,ZZLkpSkillsProgrammeGrantType,MQA Learner,L,Y
ZZLkpQualificationType,ZZLkpQualificationType,MQA Learner,L,Y
