"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZUnitStandardType","ZZMigrateValues",_LOG_
*,1,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:426,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000000] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000000] / "
*,2,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:974,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000001] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000001] / "
*,3,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:567,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000002] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000002] / "
*,4,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:573,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000003] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000003] / "
*,5,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:633,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000004] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000004] / "
*,6,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:543,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000005] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000005] / "
*,7,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:546,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000006] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000006] / "
*,8,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:2227,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000007] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000007] / "
*,9,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:2232,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000008] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000008] / "
*,10,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:637,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000009] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000009] / "
*,11,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:28,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000010] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000010] / "
*,12,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:557,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000011] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000011] / "
*,13,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:569,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000012] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000012] / "
*,14,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:29,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000013] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000013] / "
*,15,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:967,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000014] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000014] / "
*,16,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:968,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000015] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000015] / "
*,17,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:576,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000016] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000016] / "
*,18,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:444,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000017] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000017] / "
*,19,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:746,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000018] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000018] / "
*,20,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:784,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000019] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000019] / "
*,21,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:426,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000020] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000020] / "
