ID,SAQAQualificationID,SAQAQualificationTitle,NQFLevelID,Credits,RegistrationStartDate,RegistrationEndDate,LastEnrolmentDate,LastAchievementDate,QualityAssuranceBodyID,QualificationTypeId,ReplacementQualificationID,NewRegistrationStartDate,NewRegistrationEndDate,NewLastEnrolmentDate,NewLastAchievementDate,OFOOccupationID,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted,MigrationRecordID,IsReplacement,IsReregistered,MinimumElectiveCredits,SysStartTime,SysEndTime
1,23624,"National Certificate Diesel Mechanic ",3,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,0,1,0,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1105,2022-12-12 12:37:50.647,1,2023-07-07 21:23:16.630,3553,1,2,0,0,0,2023-07-07 19:23:16.6205767,9999-12-31 23:59:59.9999999
2,23625,National Certificate: Electrical,4,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,57,1,0,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1165,2022-12-12 12:37:50.647,1,2023-07-07 21:23:16.630,3553,1,3,0,0,0,2023-07-07 19:23:16.6205767,9999-12-31 23:59:59.9999999
3,23626,"National Certificate Fitting and Turning ",3,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,57,1,0,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1090,2022-12-12 12:37:50.647,1,2023-07-07 21:23:16.630,3553,1,4,0,0,0,2023-07-07 19:23:16.6205767,9999-12-31 23:59:59.9999999
4,23627,"National Certificate Fitting (Including Machining) ",3,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,57,1,0,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1102,2022-12-12 12:37:50.647,1,2023-07-07 21:23:16.630,3553,1,5,0,0,0,2023-07-07 19:23:16.6205767,9999-12-31 23:59:59.9999999
5,23628,National Certificate: Instrumentation Mechanician,4,99,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,57,1,0,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1174,2022-12-12 12:37:50.647,1,2023-07-07 21:23:16.630,3553,1,6,0,0,0,2023-07-07 19:23:16.6205767,9999-12-31 23:59:59.9999999
6,23813,National Certificate Rigger Ropesman,3,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,57,1,0,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1079,2022-12-12 12:37:50.647,1,2023-07-07 21:23:16.630,3553,1,7,0,0,0,2023-07-07 19:23:16.6205767,9999-12-31 23:59:59.9999999
7,21841,National Certificate in Winding Engine Driving,3,127,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,1900-01-01 00:00:00.000,57,1,0,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1396,2022-12-12 12:37:50.647,1,2024-07-16 09:02:47.270,4483,0,8,0,0,0,2024-07-16 07:02:47.2642948,9999-12-31 23:59:59.9999999
8,21844,National Certificate in Jewellery Manufacture in a Production Environment,3,159,2005-08-03 00:00:00.000,2008-08-23 00:00:00.000,2013-08-23 00:00:00.000,1900-01-01 00:00:00.000,57,1,0,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,2022-12-12 12:37:50.647,1,2022-12-12 12:37:50.647,1,0,9,0,0,0,2022-12-12 10:37:50.6435168,9999-12-31 23:59:59.9999999
9,21846,National Certificate in Diamond Processing Operator,2,120,2005-08-23 00:00:00.000,2008-08-23 00:00:00.000,2012-08-23 00:00:00.000,1900-01-01 00:00:00.000,0,1,0,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,2022-12-12 12:37:50.647,1,2022-12-12 12:37:50.647,1,0,10,0,0,0,2022-12-12 10:37:50.6435168,9999-12-31 23:59:59.9999999
10,21814,National Certificate in Engineering Maintenance and Repairing for Underground Coal Mining,2,148,2018-07-01 00:00:00.000,2026-06-30 00:00:00.000,2026-06-30 00:00:00.000,2029-06-30 00:00:00.000,57,1,0,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,49,2022-12-12 12:37:50.647,1,2024-07-16 09:18:15.340,4483,0,11,0,0,0,2024-07-16 07:18:15.3268315,9999-12-31 23:59:59.9999999
