ID,SkillsProgrammeCode,SkillsProgrammeTitle,NQFLevelID,Credits,RegistrationStartDate,RegistrationEndDate,QualityAssuranceBodyID,SkillsProgrammeTypeID,QualificationID,AETLevelID,OFOOccupationID,MinimumElectiveCredits,SkillsProgrammeGrantTypeID,MigrationRecordID,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted,SysStartTime,SysEndTime,IsOHS
1,MQA/SP/0002/03,Skills Programme: Secondary Blasting Operations for Underground Hard Rock Tabular,0,50,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,0,1,0,0,0,4,0,2,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
2,MQA/SP/0012/03,"Skills Programme: Secondary Blasting Operations for Underground Hard Rock Massive ",0,77,2003-12-12 00:00:00.000,2006-12-12 00:00:00.000,0,1,0,0,0,1,0,3,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
3,MQA/SP/0013/03,Skills Programme: Basic construction materials testing,0,29,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,0,1,0,0,1256,2,0,4,2022-12-12 13:31:20.827,1,2025-05-06 14:17:22.010,4483,0,2025-05-06 12:17:22.0068631,9999-12-31 23:59:59.9999999,0
4,MQA/SP/0014/03,Skills Programme: Competent Person A:  To examination and declaring a workplace safe in surface mining operations (Surface Mining Operations),0,13,2003-12-12 00:00:00.000,2010-03-03 00:00:00.000,0,1,0,0,0,0,0,5,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
5,MQA/SP/0015/03,"Skills Programme: The examination,making safe and declaring safe of blasted quarries, dumps and stockpiles",0,30,2003-12-12 00:00:00.000,2010-08-12 00:00:00.000,0,1,0,0,0,0,0,6,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
6,MQA/SP/0016/04,"Skills Programme: Transportation of men, material and ore to and from an underground workplace (Onsetter)",0,27,2003-10-28 00:00:00.000,2010-05-31 00:00:00.000,0,1,0,0,0,2,0,7,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
7,MQA/SP/0022/05,Skills Programme: Dozing Operations,0,128,2004-03-11 00:00:00.000,2007-03-11 00:00:00.000,0,1,0,0,0,46,0,8,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
8,MQA/SP/0024/05,Skills Programme: Excavating Operations,0,84,2004-03-11 00:00:00.000,2007-03-11 00:00:00.000,0,1,0,0,0,2,0,9,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
9,MQA/SP/0018/05,Skills Programme: Haul and Dump Operations,0,68,2004-10-23 00:00:00.000,2007-10-23 00:00:00.000,0,1,0,0,0,10,0,10,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
10,MQA/SP/0021/05,Skills Programme: Drilling Operations,0,70,2004-03-11 00:00:00.000,2007-03-11 00:00:00.000,0,1,0,0,0,6,0,11,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
