ID,Description,SAQACode,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted,SysStartTime,SysEndTime
1,Level 01,1,2013-03-06 08:58:51.777,1,2013-03-06 08:58:51.777,1,0,2022-12-07 10:31:03.2604800,9999-12-31 23:59:59.9999999
2,Level 02,2,2013-03-06 08:58:51.780,1,2013-03-06 08:58:51.780,1,0,2022-12-07 10:31:03.2604800,9999-12-31 23:59:59.9999999
3,Level 03,3,2013-03-06 08:58:51.780,1,2013-03-06 08:58:51.780,1,0,2022-12-07 10:31:03.2604800,9999-12-31 23:59:59.9999999
4,Level 04,4,2013-03-06 08:58:51.783,1,2013-03-06 08:58:51.783,1,0,2022-12-07 10:31:03.2604800,9999-12-31 23:59:59.9999999
5,Level 05,5,2013-03-06 08:58:51.783,1,2013-03-06 08:58:51.783,1,0,2022-12-07 10:31:03.2604800,9999-12-31 23:59:59.9999999
6,Level 06,6,2013-03-06 08:58:51.783,1,2013-03-06 08:58:51.783,1,0,2022-12-07 10:31:03.2604800,9999-12-31 23:59:59.9999999
7,Level 07,7,2013-03-06 08:58:51.783,1,2013-03-06 08:58:51.783,1,0,2022-12-07 10:31:03.2604800,9999-12-31 23:59:59.9999999
8,Level 08,8,2013-03-06 08:58:51.783,1,2013-03-06 08:58:51.783,1,0,2022-12-07 10:31:03.2604800,9999-12-31 23:59:59.9999999
9,Level 09,9,2013-03-06 08:58:51.787,1,2013-03-06 08:58:51.787,1,0,2022-12-07 10:31:03.2604800,9999-12-31 23:59:59.9999999
10,Level 10,10,2013-03-06 08:58:51.793,1,2013-03-06 08:58:51.793,1,0,2022-12-07 10:31:03.2604800,9999-12-31 23:59:59.9999999
11,Below Level 01,0,2013-03-06 10:12:38.953,1,2013-03-06 10:12:38.953,1,0,2022-12-07 10:31:03.2604800,9999-12-31 23:59:59.9999999
12,Level 11,11,2014-08-14 00:00:00.000,1,2014-08-14 00:00:00.000,1,0,2022-12-07 10:31:03.2604800,9999-12-31 23:59:59.9999999
