ID,SubMajorGroupID,Code,Description,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted,SysStartTime,SysEndTime
1,1,2021-1111,Legislators,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
2,1,2021-1112,Senior Government Officials,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
3,1,2021-1113,Traditional Chiefs and Heads of Villages,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
4,1,2021-1114,Senior Officials of Special-interest Organisations,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
5,1,2021-1121,Managing Directors and Chief Executives,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
6,2,2021-1211,Finance Managers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
7,2,2021-1212,Human Resource Managers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
8,2,2021-1213,Policy and Planning Managers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
9,2,2021-1219,Business Services and Administration Managers not Elsewhere Classified,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
10,2,2021-1221,Sales and Marketing Managers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
11,2,2021-1222,Advertising and Public Relations Managers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
12,2,2021-1223,Research and Development Managers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
13,3,2021-1311,Agricultural and Forestry Production Managers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
14,3,2021-1312,Aquaculture and Fisheries Production Managers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
15,3,2021-1321,Manufacturing Managers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
16,3,2021-1322,Mining Managers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
17,3,2021-1323,Construction Managers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
18,3,2021-1324,"Supply, Distribution and Related Managers",2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
19,3,2021-1331,Information and Communications Technology Service Managers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
20,3,2021-1341,Child Care Service Managers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
21,3,2021-1342,Health Service Managers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
22,3,2021-1343,Aged Care Service Managers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
23,3,2021-1344,Social Welfare Managers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
24,3,2021-1345,Education Managers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
25,3,2021-1346,Financial and Insurance Services Branch Managers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
26,3,2021-1347,Armed Forces Managers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
27,3,2021-1349,Professional Services Managers not Elsewhere Classified,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
28,4,2021-1411,Hotel Managers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
29,4,2021-1412,Restaurant Managers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
30,4,2021-1421,Retail and Wholesale Trade Managers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
31,4,2021-1431,"Sports, Recreation and Cultural Centre Managers",2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
32,4,2021-1439,Services Managers not Elsewhere Classified,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
33,5,2021-2111,Physicists and Astronomers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
34,5,2021-2112,Meteorologists,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
35,5,2021-2113,Chemists,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
36,5,2021-2114,Geologists and Geophysicists,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
37,5,2021-2121,"Mathematicians, Actuaries and Statisticians",2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
38,5,2021-2131,"Biologists, Botanists, Zoologists and Related Professionals",2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
39,5,2021-2132,"Farming, Forestry and Fisheries Advisers",2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
40,5,2021-2133,Environmental Protection Professionals,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
41,5,2021-2141,Industrial and Production Engineers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
42,5,2021-2142,Civil Engineers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
43,5,2021-2143,Environmental Engineers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
44,5,2021-2144,Mechanical Engineers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
45,5,2021-2145,Chemical Engineers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
46,5,2021-2146,"Mining Engineers, Metallurgists and Related Professionals",2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
47,5,2021-2149,Engineering Professionals not Elsewhere Classified,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
48,5,2021-2151,Electrical Engineers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
49,5,2021-2152,Electronics Engineers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
50,5,2021-2153,Telecommunications Engineers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
51,5,2021-2161,Building Architects,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
52,5,2021-2162,Landscape Architects,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
53,5,2021-2163,Product and Garment Designers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
54,5,2021-2164,Town and Traffic Planners,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
55,5,2021-2165,Cartographers and Surveyors,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
56,5,2021-2166,Graphic and Multimedia Designers,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
57,6,2021-2211,Generalist Medical Practitioners,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
58,6,2021-2212,Specialist Medical Practitioners,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
59,6,2021-2221,Nursing Professionals,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
60,6,2021-2222,Midwifery Professionals,2022-12-12 12:23:56.910,0,2022-12-12 12:23:56.910,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
