ID,Description,SAQACode,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted,SysStartTime,SysEndTime
1,AgriSETA,694,2012-08-24 11:38:14.003,0,2012-08-24 11:38:14.003,0,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
2,BANKSETA,557,2012-08-24 11:38:19.157,0,2012-08-24 11:38:19.157,0,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
3,CATHSSETA,755,2012-08-24 11:38:23.800,0,2012-08-24 11:38:23.800,0,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
4,CETA,577,2012-08-24 11:38:28.770,0,2012-08-24 11:38:28.770,0,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
5,CHE,621,2012-08-24 11:38:35.610,0,2012-08-24 11:38:35.610,0,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
6,CHIETA,559,2012-08-24 11:38:40.017,0,2012-12-11 10:47:05.147,1,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
7,ETDP,581,2012-08-24 11:38:45.083,0,2012-08-24 11:38:45.083,0,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
8,FASSET,585,2012-08-24 11:38:49.627,0,2012-08-24 11:38:49.627,0,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
9,FETMIS,N/A,2012-08-24 11:38:55.123,0,2012-08-24 11:38:55.123,0,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
10,FIETA,589,2012-08-24 11:38:59.533,0,2012-08-24 11:38:59.533,0,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
11,FOODBEV,587,2012-08-24 11:39:04.000,0,2012-08-24 11:39:04.000,0,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
12,FPMSETA,754,2012-08-24 11:39:08.203,0,2012-08-24 11:39:08.203,0,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
13,HWSETA,591,2012-08-24 11:39:14.377,0,2012-08-24 11:39:14.377,0,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
14,IEB,N/A,2012-08-24 11:39:19.733,0,2012-08-24 11:39:19.733,0,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
15,INSETA,595,2012-08-24 11:39:26.377,0,2012-08-24 11:39:26.377,0,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
16,HPCSA,692,2012-08-24 11:39:32.437,0,2012-08-24 11:39:32.437,0,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
17,LGSETA,597,2012-08-24 11:39:38.093,0,2012-08-24 11:39:38.093,0,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
18,MERSETA,599,2012-08-24 11:39:43.220,0,2012-08-24 11:39:43.220,0,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
19,MICT,756,2012-08-24 11:39:49.297,0,2012-08-24 11:39:49.297,0,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
20,SAICA,651,2013-05-15 08:18:13.300,1,2013-05-15 08:18:13.300,1,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
47,CTFL,561,2013-03-14 15:17:59.480,1,2013-03-14 15:17:59.480,1,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
48,DHET,NULL,2013-03-14 15:17:59.480,1,2013-03-14 15:17:59.480,1,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
49,DHET SETA-support,NULL,2013-03-14 15:17:59.480,1,2013-03-14 15:17:59.480,1,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
50,DIDTETA,NULL,2013-03-14 15:17:59.480,1,2013-03-14 15:17:59.480,1,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
51,ESETA,583,2013-03-14 15:17:59.480,1,2013-03-14 15:17:59.480,1,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
53,EWSETA,NULL,2013-03-14 15:17:59.480,1,2013-03-14 15:17:59.480,1,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
