ID,Description,Code,ProvinceID,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted
1," Based",700131292,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
2,!Xunkhwesa Combined School,300016302,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
3,1-2-3,700241737,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
4,1000 Hills College,500406334,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
5,3 Bears Educare,106008224,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
6,4-U Pre-School,445503397,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
7,4l's Pre School,600140000,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
8,A B Siwendu Senior Primary School,200300001,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
9,A B Zambodla Junior Primary School,200600001,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
10,A E Molamu,600102409,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
11,A M Bam Junior Primary School,200300002,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
12,A M S Sityana Senior Secondary School,200200001,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
13,A M Tapa Secondary School,200200002,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
14,A M Zantsi Senior Secondary School,200600003,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
15,A Petit Pas,800035507,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
16,A Re Thabeng Primary School,700240499,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
17,A V Bukani Primary School,200100001,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
18,A W Barnes Primary School,200200003,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
19,A. K Mokoena,827451516,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
20,A. M Setshedi,600100001,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
21,A.C.J. Phakade Prim,111007178,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
22,A.F. Kriel Vgk Prim.,127337447,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
23,A.F. Louw Ls.,109309200,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
24,A.G Malebe Intermediate School,600100003,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
25,A.H. Barnard Prim.,139360112,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
26,A.M. Mashego Secondary,924650580,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
